,個人,(法人)会社,(法人)会社以外の法人,法人でない団体,国、地方公共団体
情報通信業,1.2,97.3,1.3,0.1,0
不動産業・物品賃貸業,18.4,80.3,1.2,0.1,0
学術研究，専門・技術サービス業,29.7,62.5,7.2,0.2,0.4
サービス業（他に分類されないもの）,3.8,58.5,32.5,4.3,0.9
