区分,合計／集計人員（人）,合計／平均年齢（歳）,合計／平均勤続年数（年）,合計／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,合計／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,合計／令和4年7月1か月の平均賃金／所定時間外賃金（円）,合計／令和3年年間給与支払額（円）,男性／集計人員（人）,男性／平均年齢（歳）,男性／平均勤続年数（年）,男性／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,男性／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,男性／令和4年7月1か月の平均賃金／所定時間外賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員（人）,女性／平均年齢（歳）,女性／平均勤続年数（年）,女性／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,女性／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,女性／令和4年7月1か月の平均賃金／所定時間外賃金（円）,女性／令和3年年間給与支払額（円）
調査産業計,7356,42.7,11.3,371102,12286,23789,5640571,2909,45.1,12.8,452130,13474,25884,6821120,4366,41.1,10.3,316720,11396,22618,4802757
建設業,773,42.2,11.6,340313,12899,23226,5318328,263,44.6,13.5,413661,12385,21202,6372390,432,41,10,287181,12299,26471,4602462
製造業,1688,43.4,12.8,346829,11251,13118,5082303,689,46.4,15.3,407595,12882,16027,5934803,996,41.3,11,305024,10132,11071,4449908
情報通信業,573,40.1,9.8,374475,11433,42212,5756699,220,41.6,11,431253,12194,51138,6565651,353,39.2,9,338478,10959,36659,5207274
運輸業，郵便業,427,43.3,10.8,312826,12792,29564,4790203,223,47.8,12.9,343917,13604,27548,5114281,204,38.5,8.5,278840,11903,31709,4379317
卸売業，小売業,975,42.9,11.4,317522,13532,19373,4825147,265,47.2,13.6,402775,15649,17621,6012820,710,41.4,10.6,285385,12742,20047,4315245
金融業，保険業,1581,42.7,12.1,463494,13486,35075,7492730,803,43.6,12.3,544896,14363,36057,8878419,778,41.7,11.9,379033,12581,34080,6085142
不動産業，物品賃貸業,206,40.9,9.6,317168,13547,10828,4573093,72,44.3,9.1,385990,17598,7350,5168658,134,39,9.9,279910,11370,12696,4228292
学術研究，専門・技術サービス業,448,42.4,8.6,454280,10663,12560,5880665,158,44.2,8.8,595809,10587,7870,7525843,290,41.4,8.4,378863,10705,14980,4975817
宿泊業，飲食サービス業,74,37.3,6,317048,12804,22273,3986492,26,38.7,5.6,351029,13834,28287,4399090,48,36.6,6.2,298642,12247,18932,3706990
生活関連サービス業，娯楽業,152,42,8.3,303353,10417,9961,4241908,34,42.6,9.3,382045,13571,11889,5815984,118,41.8,8,280679,9509,9413,3863524
教育，学習支援業（学校教育を除く）,115,41.1,8.2,294595,7292,55692,4737568,28,41.5,6,351450,7703,71056,6245419,87,41,8.9,276297,7160,50748,4366405
医療，福祉,66,46.2,7.9,339377,10021,13196,4671851,18,54.3,8.4,447476,12921,10804,6450656,48,43.2,7.7,297077,8933,14175,3977683
サービス業（他に分類されないもの）,278,46.8,12.8,347404,11828,14736,5193237,110,49.1,15.8,441276,13256,20169,6317477,168,45.4,10.7,285941,10892,11136,4400108
