表側１,表側２,表側３,回答企業数(件),不足(%),やや不足(%),適正(%),やや過剰(%),過剰(%),無回答(%)
,,"今回調査
（全体）",543,7.6,31.9,52.7,4.6,0.2,3.1
業種別,,食料品卸売業,154,14.3,27.9,47.4,8.4,0.0,1.9
業種別,,生鮮食品卸売業,67,14.9,29.9,43.3,9.0,0.0,3.0
業種別,,加工食品等卸売業,87,13.8,26.4,50.6,8.0,0.0,1.1
業種別,,衣料品関連卸売業,83,0.0,37.3,54.2,3.6,0.0,4.8
業種別,,住関連卸売業,105,11.4,33.3,50.5,1.9,0.0,2.9
業種別,,その他卸売業,187,3.7,33.2,56.1,3.2,0.5,3.2
従業者規模別,,１～５人,206,3.4,19.4,69.9,1.9,0.0,5.3
従業者規模別,,６～９人,111,7.2,36.0,47.7,7.2,0.0,1.8
従業者規模別,,10～49人,187,13.4,41.2,36.9,5.9,0.5,2.1
従業者規模別,,50人以上,28,3.6,46.4,42.9,7.1,0.0,0.0
取引形態別,一次卸,小売直取引卸,161,11.8,31.7,46.6,6.8,0.0,3.1
取引形態別,一次卸,他部門直取引卸,47,6.4,44.7,44.7,2.1,0.0,2.1
取引形態別,一次卸,元卸,104,7.7,38.5,46.2,3.8,0.0,3.8
取引形態別,二次卸,中間卸,59,1.7,22.0,67.8,3.4,1.7,3.4
取引形態別,二次卸,最終卸,97,7.2,27.8,55.7,6.2,0.0,3.1
取引形態別,その他,製造問屋,14,0.0,21.4,78.6,0.0,0.0,0.0
取引形態別,その他,その他卸,39,5.1,33.3,59.0,0.0,0.0,2.6
年間売上高増減別（3年前）,,大幅増加（10％以上）,101,13.9,43.6,34.7,4.0,0.0,4.0
年間売上高増減別（3年前）,,やや増加（10％未満）,88,12.5,39.8,44.3,1.1,0.0,2.3
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,108,3.7,26.9,63.9,3.7,0.0,1.9
年間売上高増減別（3年前）,,やや減少（10％未満）,81,3.7,29.6,63.0,2.5,0.0,1.2
年間売上高増減別（3年前）,,大幅減少（10％以上）,144,6.3,25.0,54.2,9.0,0.7,4.9
売上高経常利益率別,,黒字（プラス）,358,9.2,36.3,49.2,3.1,0.0,2.2
売上高経常利益率別,,赤字（マイナス）,161,4.3,23.0,59.0,8.1,0.6,5.0
経常損益の変化別（3年前）,,増益,159,13.8,38.4,42.1,3.1,0.0,2.5
経常損益の変化別（3年前）,,横ばい,161,6.2,24.8,62.7,3.1,0.0,3.1
経常損益の変化別（3年前）,,減益,204,4.4,33.3,51.5,6.9,0.5,3.4
