昭和59年１月第９回改定,平成14年第11回改定,平成19年第12回改定,平成25年第13回改定
,A農業,A農業，林業,A農業，林業
B林業,B林業,,
C漁業,C漁業,B漁業,B漁業
,D鉱業,C鉱業，採石業，砂利採取業,C鉱業，採石業，砂利採取業
,E建設業,D建設業,D建設業
,F製造業,E製造業,E製造業
G電気・ガス・熱供給・水道業,G電気・ガス・熱供給・水道業,F電気・ガス・熱供給・水道業,F電気・ガス・熱供給・水道業
,H情報通信業,G情報通信業,G情報通信業
H運輸・通信業,I運輸業,H運輸業，郵便業,H運輸業，郵便業
I卸売・小売業，飲食店,J卸売・小売業,I卸売業，小売業,I卸売業，小売業
J金融・保険業,J金融・保険業,J金融業，保険業,J金融業，保険業
K不動産業,L不動産業,K不動産業，物品賃貸業,K不動産業，物品賃貸業
,,L学術研究，専門・技術サービス業,L学術研究，専門・技術サービス業
Lサービス業,M飲食店・宿泊業,M宿泊業，飲食サービス業,M宿泊業，飲食サービス業
,,N生活関連サービス業，娯楽業,N生活関連サービス業，娯楽業
,,O教育，学習支援業,O教育，学習支援業
,N医療，福祉,P医療，福祉,P医療，福祉
,O教育，学習支援業,,
,P複合サービス事業,Q複合サービス事業,Q複合サービス事業
,Qサービス業（他に分類されないもの）,Rサービス業（他に分類されないもの）,Rサービス業（他に分類されないもの）
M公務（他に分類されるものを除く）,R公務（他に分類されるものを除く）,S公務（他に分類されるものを除く）,S公務（他に分類されるものを除く）
,S分類不能の産業,T分類不能の産業,T分類不能の産業
