表側１,表側２,表側３,回答企業数(件),個人(％),法人(％),無回答(％)
,,"今回調査
（全体）",767,4.2,95.4,0.4
,,前回調査,760,7.9,91.1,1.1
業種別,,食料品卸売業,213,4.7,94.4,0.9
業種別,,生鮮食品卸売業,91,3.3,96.7,0.0
業種別,,加工食品等卸売業,122,5.7,92.6,1.6
業種別,,衣料品関連卸売業,111,2.7,97.3,0.0
業種別,,住関連卸売業,155,5.8,94.2,0.0
業種別,,その他卸売業,270,3.7,95.9,0.4
