表側１,表側２,表側３,回答企業数(件),新型コロナウイルス感染症の発生前(％),新型コロナウイルス感染症の発生後(％),無回答(％)
,,今回調査（全体）,147,67.3,22.4,10.2
業種別,,総合商品小売業,6,83.3,16.7,0
業種別,,生鮮食品小売業,8,37.5,25,37.5
業種別,,食料品関連小売業,44,63.6,27.3,9.1
業種別,,衣料品関連小売業,21,71.4,9.5,19
業種別,,住関連小売業,15,73.3,26.7,0
業種別,,その他小売業,53,69.8,22.6,7.5
従業者規模別,,1～2人,118,67.8,22,10.2
従業者規模別,,3～5人,19,63.2,26.3,10.5
従業者規模別,,6～19人,4,50,25,25
従業者規模別,,20人以上,1,100,0,0
売上高増減別(前年同期比),,増加,9,55.6,22.2,22.2
売上高増減別(前年同期比),,横ばい,17,82.4,5.9,11.8
売上高増減別(前年同期比),,減少,113,66.4,24.8,8.8
売上高増減別(3年前),,増加,3,100,0,0
売上高増減別(3年前),,横ばい,15,53.3,33.3,13.3
売上高増減別(3年前),,減少,113,69,22.1,8.8
