表側１,表側２,表側３,回答企業数(件),1％未満(％),1～3％未満(％),3～10％未満(％),10～30％未満(％),30％以上(％),無回答(％)
,,今回調査（全体）,147,16.3,21.8,25.9,17.7,10.9,7.5
,,前回調査,149,13.4,23.5,22.8,23.5,12.8,4
業種別,,食料品卸売業,37,21.6,13.5,24.3,16.2,8.1,16.2
業種別,,生鮮食品卸売業,15,20,20,13.3,20,6.7,20
業種別,,加工食品等卸売業,22,22.7,9.1,31.8,13.6,9.1,13.6
業種別,,衣料品関連卸売業,38,10.5,15.8,36.8,18.4,10.5,7.9
業種別,,住関連卸売業,14,7.1,35.7,14.3,14.3,21.4,7.1
業種別,,その他卸売業,57,19.3,26.3,22.8,19.3,10.5,1.8
従業者規模別,,1～5人,45,11.1,15.6,31.1,17.8,13.3,11.1
従業者規模別,,6～9人,30,6.7,16.7,26.7,20,20,10
従業者規模別,,10～49人,51,23.5,25.5,17.6,21.6,5.9,5.9
従業者規模別,,50人以上,16,25,31.3,31.3,6.3,6.3,0
取引形態別,一次卸,小売直取引卸,57,14,28.1,22.8,21.1,12.3,1.8
取引形態別,一次卸,他部門直取引卸,7,57.1,0,28.6,0,14.3,0
取引形態別,一次卸,元卸,42,9.5,19,33.3,19,7.1,11.9
取引形態別,二次卸,中間卸,8,37.5,12.5,12.5,37.5,0,0
取引形態別,二次卸,最終卸,18,16.7,22.2,22.2,5.6,16.7,16.7
取引形態別,その他,製造問屋,3,0,0,33.3,33.3,0,33.3
取引形態別,その他,その他卸,9,22.2,22.2,33.3,11.1,0,11.1
売上高増減別(前年同期比),,増加,16,6.3,12.5,25,6.3,31.3,18.8
売上高増減別(前年同期比),,横ばい,21,33.3,38.1,9.5,14.3,4.8,0
売上高増減別(前年同期比),,減少,108,14.8,20.4,29.6,18.5,9.3,7.4
売上高増減別(３年前),,増加,37,29.7,24.3,13.5,5.4,13.5,13.5
売上高増減別(３年前),,横ばい,26,15.4,30.8,26.9,19.2,3.8,3.8
売上高増減別(３年前),,減少,72,9.7,19.4,31.9,23.6,8.3,6.9
