表側１,表側２,表側３,回答企業数(件),進むと思う(％),変わらない(％),わからない(％),無回答(％)
,,今回調査（全体）,760,39.1,25.5,22.5,12.9
業種別,,食料品卸売業,237,35.4,21.5,23.6,19.4
業種別,,生鮮食品卸売業,126,31,22.2,26.2,20.6
業種別,,加工食品等卸売業,111,40.5,20.7,20.7,18
業種別,,衣料品関連卸売業,145,43.4,24.8,20.7,11
業種別,,住関連卸売業,83,38.6,28.9,22.9,9.6
業種別,,その他卸売業,288,39.6,28.1,22.6,9.7
従業者規模別,,1～5人,399,23.3,32.8,28.6,15.3
従業者規模別,,6～9人,101,51.5,17.8,18.8,11.9
従業者規模別,,10～49人,208,55.8,17.3,16.3,10.6
従業者規模別,,50人以上,36,77.8,16.7,5.6,0
取引形態別,一次卸,小売直取引卸,219,41.6,30.1,16,12.3
取引形態別,一次卸,他部門直取引卸,50,52,24,16,8
取引形態別,一次卸,元卸,154,48.1,24,18.8,9.1
取引形態別,二次卸,中間卸,85,25.9,27.1,30.6,16.5
取引形態別,二次卸,最終卸,135,36.3,23,26.7,14.1
取引形態別,その他,製造問屋,19,42.1,21.1,26.3,10.5
取引形態別,その他,その他卸,77,26,23.4,35.1,15.6
売上高増減別(前年同期比),,増加,56,53.6,19.6,14.3,12.5
売上高増減別(前年同期比),,横ばい,108,47.2,22.2,21.3,9.3
売上高増減別(前年同期比),,減少,585,36.2,26.8,23.4,13.5
売上高増減別(３年前),,増加,136,55.1,19.9,16.2,8.8
売上高増減別(３年前),,横ばい,130,37.7,30,23.1,9.2
売上高増減別(３年前),,減少,443,33.6,26.2,24.6,15.6
