表側１,表側２,表側３,回答企業数(件),増加(5％以上)(％),ほぼ横ばい(±5％未満)(％),やや減少(30％未満)(％),減少(50％未満)(％),大幅減少(50％以上)(％),無回答(％)
,,今回調査（全体）,2003,6.9,12.5,28.1,24.6,24.1,3.9
業種別,,総合商品小売業,164,18.3,18.9,29.3,20.1,9.8,3.7
業種別,,生鮮食品小売業,113,15.9,15,27.4,23.9,12.4,5.3
業種別,,食料品関連小売業,511,7.6,16.4,29.4,23.7,18.6,4.3
業種別,,衣料品関連小売業,314,1.9,7,15.9,30.6,43.6,1
業種別,,住関連小売業,162,3.1,15.4,26.5,24.7,27.2,3.1
業種別,,その他小売業,737,5.4,9.8,32.6,23.6,23.7,4.9
従業者規模別,,1～2人,1059,4.5,11.1,26.6,26.9,26.7,4.1
従業者規模別,,3～5人,488,7.4,13.7,28.1,24.4,22.3,4.1
従業者規模別,,6～19人,272,11.8,14,33.1,18,20.2,2.9
従業者規模別,,20人以上,134,15.7,17.2,32.8,18.7,13.4,2.2
