表側１,表側２,表側３,回答企業数(件),品揃えの幅広さ(%),品揃えの深さ（専門性）(%),商材の発掘(%),新商品の企画・開発(%),顧客への品揃えの提案(%),顧客の売場づくり支援(%),顧客への販促提案(%),顧客への情報提供(%),短納期や納期の短縮化(%),小口受注・小口配送(%),多頻度配送(%),情報収集・分析(%),金融機能(%),他事業者との連携(%),業務の効率化・合理化(%),その他(%),特になし(%),無回答(%)
,,"今回調査
（全体）",305,22.6,28.9,33.4,32.5,18.7,4.9,28.5,29.2,14.8,13.4,5.9,15.1,2.0,8.2,5.9,0.7,13.1,5.6
,,前回調査,351,20.2,34.5,36.8,32.5,21.7,5.1,22.8,27.6,10.3,13.1,6.8,14.8,1.1,8.3,14.8,1.4,14.2,1.4
業種別,,食料品卸売業,77,20.8,22.1,36.4,24.7,19.5,5.2,28.6,26.0,5.2,13.0,6.5,9.1,2.6,3.9,3.9,1.3,18.2,7.8
業種別,,生鮮食品卸売業,32,15.6,18.8,25.0,15.6,15.6,0.0,21.9,9.4,3.1,12.5,3.1,9.4,0.0,3.1,0.0,0.0,34.4,9.4
業種別,,加工食品等卸売業,45,24.4,24.4,44.4,31.1,22.2,8.9,33.3,37.8,6.7,13.3,8.9,8.9,4.4,4.4,6.7,2.2,6.7,6.7
業種別,,衣料品関連卸売業,53,26.4,35.8,26.4,43.4,30.2,5.7,30.2,26.4,13.2,13.2,1.9,17.0,3.8,5.7,1.9,0.0,7.5,13.2
業種別,,住関連卸売業,64,23.4,34.4,48.4,32.8,15.6,0.0,28.1,35.9,18.8,12.5,7.8,23.4,1.6,12.5,6.3,1.6,9.4,4.7
業種別,,その他卸売業,111,21.6,27.0,26.1,32.4,14.4,7.2,27.9,28.8,19.8,14.4,6.3,13.5,0.9,9.9,9.0,0.0,14.4,0.9
従業者規模別,,１～５人,172,18.0,25.6,29.7,20.9,18.0,2.3,23.3,26.2,12.8,12.8,5.8,12.2,1.2,6.4,2.9,1.2,18.0,5.8
従業者規模別,,６～９人,51,23.5,25.5,33.3,45.1,13.7,5.9,31.4,19.6,13.7,7.8,3.9,11.8,3.9,9.8,2.0,0.0,9.8,9.8
従業者規模別,,10～49人,64,32.8,40.6,45.3,51.6,23.4,9.4,37.5,40.6,20.3,21.9,7.8,25.0,3.1,10.9,10.9,0.0,3.1,1.6
従業者規模別,,50人以上,9,44.4,44.4,44.4,55.6,22.2,22.2,44.4,66.7,11.1,11.1,11.1,22.2,0.0,11.1,44.4,0.0,0.0,0.0
取引形態別,一次卸,小売直取引卸,90,27.8,30.0,32.2,34.4,22.2,7.8,31.1,25.6,16.7,13.3,4.4,15.6,2.2,6.7,3.3,1.1,11.1,5.6
取引形態別,一次卸,他部門直取引卸,33,30.3,39.4,63.6,33.3,21.2,0.0,15.2,39.4,21.2,24.2,12.1,30.3,3.0,12.1,12.1,3.0,6.1,3.0
取引形態別,一次卸,元卸,54,24.1,29.6,37.0,57.4,16.7,5.6,37.0,27.8,18.5,7.4,9.3,20.4,1.9,7.4,13.0,0.0,3.7,3.7
取引形態別,二次卸,中間卸,36,22.2,11.1,27.8,16.7,16.7,5.6,38.9,30.6,8.3,8.3,0.0,11.1,0.0,11.1,2.8,0.0,19.4,11.1
取引形態別,二次卸,最終卸,52,13.5,30.8,30.8,15.4,21.2,3.8,21.2,30.8,11.5,15.4,5.8,9.6,1.9,5.8,5.8,0.0,21.2,3.8
取引形態別,その他,製造問屋,6,0.0,16.7,16.7,66.7,0.0,0.0,0.0,50.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取引形態別,その他,その他卸,28,7.1,32.1,17.9,21.4,3.6,3.6,25.0,21.4,10.7,17.9,7.1,7.1,3.6,14.3,0.0,0.0,25.0,10.7
年間売上高増減別（3年前）,,大幅増加（10％以上）,17,23.5,35.3,29.4,47.1,17.6,11.8,35.3,41.2,29.4,11.8,0.0,35.3,0.0,11.8,5.9,5.9,0.0,11.8
年間売上高増減別（3年前）,,やや増加（10％未満）,23,21.7,39.1,43.5,34.8,17.4,8.7,30.4,47.8,21.7,13.0,8.7,26.1,8.7,13.0,8.7,0.0,17.4,0.0
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,48,37.5,29.2,33.3,39.6,22.9,2.1,27.1,37.5,14.6,18.8,8.3,14.6,4.2,12.5,4.2,0.0,12.5,2.1
年間売上高増減別（3年前）,,やや減少（10％未満）,60,21.7,26.7,26.7,31.7,16.7,5.0,26.7,20.0,15.0,10.0,8.3,11.7,0.0,5.0,3.3,0.0,15.0,6.7
年間売上高増減別（3年前）,,大幅減少（10％以上）,154,18.8,27.3,35.1,28.6,18.8,4.5,27.3,26.6,11.7,13.0,4.5,13.0,1.3,7.1,7.1,0.6,13.6,6.5
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
