企業規模,４系列職種,年齢（歳）,高校卒／扶養家族数（人）,高校卒／集計企業数（社）,高校卒／所定時間内賃金（円）,高校卒／上昇係数,高専・短大卒／扶養家族数（人）,高専・短大卒／集計企業数（社）,高専・短大卒／所定時間内賃金（円）,高専・短大卒／上昇係数,専門学校卒／扶養家族数（人）,専門学校卒／集計企業数（社）,専門学校卒／所定時間内賃金（円）,専門学校卒／上昇係数,大学卒／扶養家族数（人）,大学卒／集計企業数（社）,大学卒／所定時間内賃金（円）,大学卒／上昇係数
１０～４９人,合計,18,0,319,192893,100,-,-,-,-,-,-,-,-,-,-,-,-
１０～４９人,合計,20,0,94,200169,103.8,0,296,202632,100,0,306,203652,100,-,-,-,-
１０～４９人,合計,22,0,97,206534,107.1,0,88,211122,104.2,0,98,212962,104.6,0,406,215406,100
１０～４９人,合計,25,0,94,223138,115.7,0,84,224245,110.7,0,93,227086,111.5,0,138,233391,108.3
１０～４９人,合計,30,2,94,249306,129.2,2,84,252955,124.8,2,89,257627,126.5,2,132,267147,124
１０～４９人,合計,35,3,88,272782,141.4,3,80,277518,137,3,87,282469,138.7,3,121,296978,137.9
１０～４９人,合計,40,3,87,293910,152.4,3,75,298703,147.4,3,80,304000,149.3,3,122,325732,151.2
１０～４９人,合計,45,3,83,317978,164.8,3,69,324551,160.2,3,76,327213,160.7,3,107,356807,165.6
１０～４９人,合計,50,3,81,341710,177.2,3,69,352193,173.8,3,73,356801,175.2,3,105,390810,181.4
１０～４９人,合計,55,2,78,349256,181.1,2,68,368397,181.8,2,71,370082,181.7,2,100,404295,187.7
１０～４９人,合計,60,1,77,362409,187.9,1,69,380280,187.7,1,72,382854,188,1,102,417999,194.1
１０～４９人,営業販売系,18,0,157,190562,100,-,-,-,-,-,-,-,-,-,-,-,-
１０～４９人,営業販売系,20,0,42,196402,103.1,0,154,201918,100,0,155,202154,100,-,-,-,-
１０～４９人,営業販売系,22,0,43,197442,103.6,0,44,206157,102.1,0,46,206230,102,0,218,215682,100
１０～４９人,営業販売系,25,0,42,218255,114.5,0,41,217841,107.9,0,42,218643,108.2,0,73,231464,107.3
１０～４９人,営業販売系,30,2,41,244690,128.4,2,43,244963,121.3,2,42,249207,123.3,2,68,265578,123.1
１０～４９人,営業販売系,35,3,40,270645,142,3,41,271473,134.4,3,41,274939,136,3,63,296359,137.4
１０～４９人,営業販売系,40,3,38,295176,154.9,3,39,295900,146.5,3,39,301331,149.1,3,63,330502,153.2
１０～４９人,営業販売系,45,3,34,320882,168.4,3,35,321131,159,3,35,329840,163.2,3,52,364469,169
１０～４９人,営業販売系,50,3,34,348426,182.8,3,36,352383,174.5,3,35,359686,177.9,3,53,400425,185.7
１０～４９人,営業販売系,55,2,33,363042,190.5,2,35,369740,183.1,2,34,378774,187.4,2,50,425522,197.3
１０～４９人,営業販売系,60,1,33,376267,197.5,1,35,384889,190.6,1,34,395791,195.8,1,51,443194,205.5
１０～４９人,事務系,18,0,135,190441,100,-,-,-,-,-,-,-,-,-,-,-,-
１０～４９人,事務系,20,0,45,192873,101.3,0,134,199905,100,0,132,201417,100,-,-,-,-
１０～４９人,事務系,22,0,47,202206,106.2,0,43,203677,101.9,0,46,205439,102,0,169,213947,100
１０～４９人,事務系,25,0,44,215655,113.2,0,42,216690,108.4,0,43,217712,108.1,0,63,227510,106.3
１０～４９人,事務系,30,2,46,244602,128.4,2,43,247100,123.6,2,41,250537,124.4,2,61,259000,121.1
１０～４９人,事務系,35,3,42,269690,141.6,3,40,273188,136.7,3,40,273660,135.9,3,55,285520,133.5
１０～４９人,事務系,40,3,43,294305,154.5,3,39,301233,150.7,3,39,302128,150,3,57,315651,147.5
１０～４９人,事務系,45,3,40,322668,169.4,3,36,332800,166.5,3,36,334833,166.2,3,51,352437,164.7
１０～４９人,事務系,50,3,40,356638,187.3,3,37,369589,184.9,3,36,368322,182.9,3,49,389147,181.9
１０～４９人,事務系,55,2,39,362028,190.1,2,36,389986,195.1,2,35,388071,192.7,2,48,417310,195.1
１０～４９人,事務系,60,1,37,376959,197.9,1,36,400311,200.3,1,35,397714,197.5,1,49,436955,204.2
１０～４９人,技術系,18,0,92,193670,100,-,-,-,-,-,-,-,-,-,-,-,-
１０～４９人,技術系,20,0,32,199384,103,0,86,203053,100,0,91,203881,100,-,-,-,-
１０～４９人,技術系,22,0,32,212013,109.5,0,30,212320,104.6,0,35,214354,105.1,0,111,218490,100
１０～４９人,技術系,25,0,32,227819,117.6,0,29,227241,111.9,0,34,231265,113.4,0,45,236989,108.5
１０～４９人,技術系,30,2,32,258875,133.7,2,30,262740,129.4,2,34,264803,129.9,2,45,272229,124.6
１０～４９人,技術系,35,3,30,284130,146.7,3,28,292011,143.8,3,32,294434,144.4,3,41,305480,139.8
１０～４９人,技術系,40,3,30,308930,159.5,3,27,317400,156.3,3,30,318530,156.2,3,41,336107,153.8
１０～４９人,技術系,45,3,30,333907,172.4,3,27,340356,167.6,3,29,335017,164.3,3,39,360341,164.9
１０～４９人,技術系,50,3,32,365119,188.5,3,28,372921,183.7,3,30,367537,180.3,3,40,394595,180.6
１０～４９人,技術系,55,2,29,377069,194.7,2,27,389904,192,2,29,383348,188,2,39,420546,192.5
１０～４９人,技術系,60,1,30,387830,200.3,1,28,402475,198.2,1,30,397067,194.8,1,40,435285,199.2
１０～４９人,生産系,18,0,89,192580,100,-,-,-,-,-,-,-,-,-,-,-,-
１０～４９人,生産系,20,0,27,202974,105.4,0,72,204135,100,0,73,205519,100,-,-,-,-
１０～４９人,生産系,22,0,27,212826,110.5,0,16,219119,107.3,0,18,219772,106.9,0,87,217564,100
１０～４９人,生産系,25,0,26,222804,115.7,0,16,226331,110.9,0,17,225724,109.8,0,23,233600,107.4
１０～４９人,生産系,30,2,26,244319,126.9,2,15,255887,125.4,2,16,258144,125.6,2,20,265110,121.9
１０～４９人,生産系,35,3,24,267150,138.7,3,15,280653,137.5,3,17,281753,137.1,3,20,291555,134
１０～４９人,生産系,40,3,24,292071,151.7,3,14,296379,145.2,3,14,297093,144.6,3,20,310935,142.9
１０～４９人,生産系,45,3,24,311775,161.9,3,13,324331,158.9,3,14,325593,158.4,3,18,343861,158.1
１０～４９人,生産系,50,3,24,334213,173.5,3,13,347177,170.1,3,13,347946,169.3,3,18,373489,171.7
１０～４９人,生産系,55,2,24,340554,176.8,2,13,363023,177.8,2,13,363792,177,2,18,396750,182.4
１０～４９人,生産系,60,1,23,353696,183.7,1,13,371015,181.7,1,13,371785,180.9,1,19,424453,195.1
５０～９９人,合計,18,0,105,187965,100,-,-,-,-,-,-,-,-,-,-,-,-
５０～９９人,合計,20,0,43,194577,103.5,0,105,198469,100,0,111,198194,100,-,-,-,-
５０～９９人,合計,22,0,41,202841,107.9,0,43,205181,103.4,0,47,206398,104.1,0,152,214256,100
５０～９９人,合計,25,0,42,222055,118.1,0,42,223079,112.4,0,44,223302,112.7,0,71,231348,108
５０～９９人,合計,30,2,41,254749,135.5,2,41,258212,130.1,2,43,259721,131,2,67,275833,128.7
５０～９９人,合計,35,3,38,281800,149.9,3,38,286668,144.4,3,41,288337,145.5,3,65,311171,145.2
５０～９９人,合計,40,3,37,313227,166.6,3,36,317958,160.2,3,37,323819,163.4,3,62,353352,164.9
５０～９９人,合計,45,3,36,342442,182.2,3,36,349803,176.3,3,38,357226,180.2,3,58,397033,185.3
５０～９９人,合計,50,3,37,374024,199,3,37,380368,191.7,3,38,391579,197.6,3,58,423802,197.8
５０～９９人,合計,55,2,36,396656,211,2,36,401061,202.1,2,35,420771,212.3,2,57,452253,211.1
５０～９９人,合計,60,1,35,406094,216,1,35,410500,206.8,1,35,423960,213.9,1,53,455936,212.8
５０～９９人,営業販売系,18,0,50,184618,100,-,-,-,-,-,-,-,-,-,-,-,-
５０～９９人,営業販売系,20,0,23,193222,104.7,0,53,198251,100,0,59,196920,100,-,-,-,-
５０～９９人,営業販売系,22,0,23,202335,109.6,0,21,204100,103,0,24,203467,103.3,0,78,214365,100
５０～９９人,営業販売系,25,0,23,219330,118.8,0,21,221000,111.5,0,23,218861,111.1,0,37,229511,107.1
５０～９９人,営業販売系,30,2,24,254254,137.7,2,22,255768,129,2,24,252871,128.4,2,38,276447,129
５０～９９人,営業販売系,35,3,23,283109,153.3,3,20,285600,144.1,3,23,280243,142.3,3,36,310889,145
５０～９９人,営業販売系,40,3,23,318465,172.5,3,21,323095,163,3,23,319487,162.2,3,37,359832,167.9
５０～９９人,営業販売系,45,3,23,347174,188,3,20,354730,178.9,3,23,348404,176.9,3,34,404862,188.9
５０～９９人,営業販売系,50,3,24,380000,205.8,3,22,383859,193.6,3,24,381933,194,3,35,429537,200.4
５０～９９人,営業販売系,55,2,23,401226,217.3,2,21,396467,200,2,21,405210,205.8,2,33,448827,209.4
５０～９９人,営業販売系,60,1,22,404041,218.9,1,20,404010,203.8,1,21,405600,206,1,32,453247,211.4
５０～９９人,事務系,18,0,52,183935,100,-,-,-,-,-,-,-,-,-,-,-,-
５０～９９人,事務系,20,0,21,185743,101,0,55,195060,100,0,57,194281,100,-,-,-,-
５０～９９人,事務系,22,0,21,196776,107,0,24,196488,100.7,0,25,197548,101.7,0,80,210118,100
５０～９９人,事務系,25,0,21,212238,115.4,0,24,212463,108.9,0,25,213900,110.1,0,38,223797,106.5
５０～９９人,事務系,30,2,21,245095,133.3,2,24,244504,125.3,2,25,247644,127.5,2,37,266716,126.9
５０～９９人,事務系,35,3,21,273452,148.7,3,23,273343,140.1,3,25,277828,143,3,38,306874,146
５０～９９人,事務系,40,3,20,308815,167.9,3,23,309800,158.8,3,23,316678,163,3,36,357925,170.3
５０～９９人,事務系,45,3,21,336762,183.1,3,24,338767,173.7,3,25,345904,178,3,35,393360,187.2
５０～９９人,事務系,50,3,21,365086,198.5,3,24,364783,187,3,24,376242,193.7,3,34,428394,203.9
５０～９９人,事務系,55,2,21,387033,210.4,2,24,377738,193.7,2,23,396196,203.9,2,35,451371,214.8
５０～９９人,事務系,60,1,20,386205,210,1,23,385165,197.5,1,23,396126,203.9,1,32,450625,214.5
５０～９９人,技術系,18,0,38,188171,100,-,-,-,-,-,-,-,-,-,-,-,-
５０～９９人,技術系,20,0,16,196444,104.4,0,38,197174,100,0,43,195502,100,-,-,-,-
５０～９９人,技術系,22,0,16,207825,110.4,0,17,208135,105.6,0,21,207914,106.3,0,53,213513,100
５０～９９人,技術系,25,0,18,226761,120.5,0,17,225847,114.5,0,20,224870,115,0,28,234529,109.8
５０～９９人,技術系,30,2,17,257394,136.8,2,16,257950,130.8,2,20,259045,132.5,2,26,274546,128.6
５０～９９人,技術系,35,3,13,281346,149.5,3,13,279269,141.6,3,18,287383,147,3,25,311016,145.7
５０～９９人,技術系,40,3,13,308492,163.9,3,13,313677,159.1,3,16,323081,165.3,3,24,358183,167.8
５０～９９人,技術系,45,3,13,333108,177,3,14,339729,172.3,3,17,354935,181.6,3,22,392000,183.6
５０～９９人,技術系,50,3,13,362923,192.9,3,13,372792,189.1,3,16,388019,198.5,3,22,432568,202.6
５０～９９人,技術系,55,2,13,389577,207,2,13,395392,200.5,2,16,412825,211.2,2,22,454114,212.7
５０～９９人,技術系,60,1,13,405823,215.7,1,13,412377,209.1,1,16,424863,217.3,1,20,468570,219.5
５０～９９人,生産系,18,0,31,184781,100,-,-,-,-,-,-,-,-,-,-,-,-
５０～９９人,生産系,20,0,14,192321,104.1,0,22,196164,100,0,24,191750,100,-,-,-,-
５０～９９人,生産系,22,0,13,199562,108,0,10,201210,102.6,0,11,198900,103.7,0,29,207379,100
５０～９９人,生産系,25,0,12,213867,115.7,0,10,215860,110,0,10,213020,111.1,0,14,221293,106.7
５０～９９人,生産系,30,2,12,244083,132.1,2,10,247350,126.1,2,10,242480,126.5,2,13,247115,119.2
５０～９９人,生産系,35,3,11,269155,145.7,3,9,273267,139.3,3,10,261430,136.3,3,13,273023,131.7
５０～９９人,生産系,40,3,11,298927,161.8,3,8,296138,151,3,9,296067,154.4,3,12,298908,144.1
５０～９９人,生産系,45,3,11,319382,172.8,3,8,319063,162.7,3,10,318600,166.2,3,12,327475,157.9
５０～９９人,生産系,50,3,11,351209,190.1,3,9,346667,176.7,3,10,353380,184.3,3,12,360700,173.9
５０～９９人,生産系,55,2,11,372855,201.8,2,9,357900,182.4,2,8,385750,201.2,2,12,384200,185.3
５０～９９人,生産系,60,1,10,373150,201.9,1,8,375000,191.2,1,8,387838,202.3,1,11,391136,188.6
１００～２９９人,合計,18,0,79,186585,100,-,-,-,-,-,-,-,-,-,-,-,-
１００～２９９人,合計,20,0,37,192370,103.1,0,76,200579,100,0,76,200509,100,-,-,-,-
１００～２９９人,合計,22,0,37,202814,108.7,0,37,211762,105.6,0,39,209456,104.5,0,115,219283,100
１００～２９９人,合計,25,0,36,221161,118.5,0,34,227779,113.6,0,35,225600,112.5,0,58,237012,108.1
１００～２９９人,合計,30,2,36,255914,137.2,2,33,268664,133.9,2,35,266183,132.8,2,58,279169,127.3
１００～２９９人,合計,35,3,35,296571,158.9,3,31,308052,153.6,3,33,301752,150.5,3,53,332681,151.7
１００～２９９人,合計,40,3,36,325792,174.6,3,31,342690,170.9,3,32,340778,170,3,53,379553,173.1
１００～２９９人,合計,45,3,33,357421,191.6,3,30,388023,193.5,3,33,380142,189.6,3,49,423955,193.3
１００～２９９人,合計,50,3,32,382884,205.2,3,29,427228,213,3,29,412321,205.6,3,49,466780,212.9
１００～２９９人,合計,55,2,32,414559,222.2,2,28,449354,224,2,29,437452,218.2,2,45,487198,222.2
１００～２９９人,合計,60,1,28,420157,225.2,1,27,452656,225.7,1,28,439961,219.4,1,38,498326,227.3
１００～２９９人,営業販売系,18,0,51,186863,100,-,-,-,-,-,-,-,-,-,-,-,-
１００～２９９人,営業販売系,20,0,27,193348,103.5,0,50,201842,100,0,47,201562,100,-,-,-,-
１００～２９９人,営業販売系,22,0,26,204596,109.5,0,24,215621,106.8,0,25,213052,105.7,0,71,220197,100
１００～２９９人,営業販売系,25,0,25,224836,120.3,0,21,234605,116.2,0,22,231391,114.8,0,40,240683,109.3
１００～２９９人,営業販売系,30,2,25,262876,140.7,2,21,275738,136.6,2,22,270491,134.2,2,40,283778,128.9
１００～２９９人,営業販売系,35,3,25,301148,161.2,3,20,315150,156.1,3,21,305895,151.8,3,37,339781,154.3
１００～２９９人,営業販売系,40,3,25,339068,181.5,3,20,354995,175.9,3,21,345410,171.4,3,37,389435,176.9
１００～２９９人,営業販売系,45,3,24,367075,196.4,3,20,393185,194.8,3,21,379543,188.3,3,35,433769,197
１００～２９９人,営業販売系,50,3,24,395379,211.6,3,20,425725,210.9,3,20,410295,203.6,3,35,470246,213.6
１００～２９９人,営業販売系,55,2,23,414148,221.6,2,19,449684,222.8,2,19,431337,214,2,32,492450,223.6
１００～２９９人,営業販売系,60,1,22,427136,228.6,1,19,457174,226.5,1,19,437905,217.3,1,28,496900,225.7
１００～２９９人,事務系,18,0,50,181162,100,-,-,-,-,-,-,-,-,-,-,-,-
１００～２９９人,事務系,20,0,27,191059,105.5,0,46,194567,100,0,44,194918,100,-,-,-,-
１００～２９９人,事務系,22,0,28,202239,111.6,0,23,207730,106.8,0,24,205383,105.4,0,71,217544,100
１００～２９９人,事務系,25,0,27,221570,122.3,0,23,226096,116.2,0,23,224526,115.2,0,38,237545,109.2
１００～２９９人,事務系,30,2,26,258877,142.9,2,22,267927,137.7,2,23,264943,135.9,2,39,278746,128.1
１００～２９９人,事務系,35,3,26,299508,165.3,3,21,311786,160.2,3,22,303105,155.5,3,35,332217,152.7
１００～２９９人,事務系,40,3,26,331173,182.8,3,21,344081,176.8,3,21,338067,173.4,3,35,378594,174
１００～２９９人,事務系,45,3,25,358288,197.8,3,21,381243,195.9,3,23,368904,189.3,3,32,420509,193.3
１００～２９９人,事務系,50,3,24,384863,212.4,3,21,421433,216.6,3,20,398775,204.6,3,34,466544,214.5
１００～２９９人,事務系,55,2,25,418252,230.9,2,20,448995,230.8,2,20,431565,221.4,2,30,492100,226.2
１００～２９９人,事務系,60,1,22,429150,236.9,1,19,463084,238,1,19,443816,227.7,1,26,500077,229.9
１００～２９９人,技術系,18,0,42,180960,100,-,-,-,-,-,-,-,-,-,-,-,-
１００～２９９人,技術系,20,0,21,192562,106.4,0,39,195403,100,0,39,195718,100,-,-,-,-
１００～２９９人,技術系,22,0,21,205076,113.3,0,20,210450,107.7,0,21,207905,106.2,0,50,216176,100
１００～２９９人,技術系,25,0,19,223111,123.3,0,18,228883,117.1,0,19,225574,115.3,0,27,232781,107.7
１００～２９９人,技術系,30,2,20,258610,142.9,2,17,271818,139.1,2,18,265628,135.7,2,27,273337,126.4
１００～２９９人,技術系,35,3,19,305637,168.9,3,17,312165,159.8,3,18,301511,154.1,3,25,325160,150.4
１００～２９９人,技術系,40,3,20,336830,186.1,3,17,350212,179.2,3,18,339328,173.4,3,25,371152,171.7
１００～２９９人,技術系,45,3,18,368617,203.7,3,17,396441,202.9,3,18,384267,196.3,3,24,414000,191.5
１００～２９９人,技術系,50,3,18,390056,215.5,3,16,428650,219.4,3,16,413775,211.4,3,24,460388,213
１００～２９９人,技術系,55,2,18,425628,235.2,2,17,457053,233.9,2,17,440700,225.2,2,23,484352,224.1
１００～２９９人,技術系,60,1,16,437963,242,1,16,465506,238.2,1,16,447038,228.4,1,18,500517,231.5
１００～２９９人,生産系,18,0,27,180622,100,-,-,-,-,-,-,-,-,-,-,-,-
１００～２９９人,生産系,20,0,10,188670,104.5,0,26,193154,100,0,26,192712,100,-,-,-,-
１００～２９９人,生産系,22,0,10,200360,110.9,0,8,209063,108.2,0,9,200967,104.3,0,29,212824,100
１００～２９９人,生産系,25,0,11,216064,119.6,0,9,222489,115.2,0,9,214444,111.3,0,11,233700,109.8
１００～２９９人,生産系,30,2,10,248510,137.6,2,9,258933,134.1,2,10,253910,131.8,2,11,264909,124.5
１００～２９９人,生産系,35,3,10,274670,152.1,3,8,292475,151.4,3,9,274633,142.5,3,10,309380,145.4
１００～２９９人,生産系,40,3,11,301600,167,3,9,320344,165.8,3,9,317378,164.7,3,11,347191,163.1
１００～２９９人,生産系,45,3,9,330422,182.9,3,7,357000,184.8,3,9,346478,179.8,3,9,377133,177.2
１００～２９９人,生産系,50,3,9,357244,197.8,3,8,415613,215.2,3,8,370400,192.2,3,10,430220,202.1
１００～２９９人,生産系,55,2,10,391150,216.6,2,7,423771,219.4,2,8,392650,203.7,2,9,445133,209.2
１００～２９９人,生産系,60,1,9,385078,213.2,1,7,437014,226.3,1,8,403363,209.3,1,9,461144,216.7
