表側１,表側２,表側３,回答企業数(件),3％未満(％),3～10％未満(％),10～30％未満(％),30％以上(％),無回答(％)
,,今回調査（全体）,258,17.4,17.8,26.4,26,12.4
,,前回調査,247,25.1,22.3,23.9,18.2,10.5
業種別,,総合商品小売業,29,37.9,20.7,10.3,0,31
業種別,,生鮮食品小売業,5,40,40,20,0,0
業種別,,食料品関連小売業,47,25.5,19.1,27.7,19.1,8.5
業種別,,衣料品関連小売業,49,14.3,24.5,22.4,26.5,12.2
業種別,,住関連小売業,14,0,35.7,21.4,35.7,7.1
業種別,,その他小売業,113,11.5,10.6,32.7,34.5,10.6
従業者規模別,,1～2人,82,12.2,12.2,31.7,35.4,8.5
従業者規模別,,3～5人,82,15.9,18.3,25.6,26.8,13.4
従業者規模別,,6～19人,55,18.2,29.1,20,20,12.7
従業者規模別,,20人以上,34,35.3,14.7,23.5,8.8,17.6
売上高増減別(前年同期比),,増加,27,22.2,14.8,25.9,25.9,11.1
売上高増減別(前年同期比),,横ばい,27,14.8,29.6,3.7,22.2,29.6
売上高増減別(前年同期比),,減少,199,17.1,17.1,29.1,27.1,9.5
売上高増減別(3年前),,増加,31,19.4,22.6,22.6,19.4,16.1
売上高増減別(3年前),,横ばい,55,21.8,21.8,25.5,16.4,14.5
売上高増減別(3年前),,減少,153,16.3,15.7,28.8,28.8,10.5
