表側１,表側２,表側３,回答企業数(件),都心(%),副都心(%),城東(%),城南(%),城西(%),城北(%),多摩(%),無回答(%)
,,"今回調査
（全体）",2141,7.8,10.1,25.5,10.0,15.1,7.4,23.5,0.5
,,前回調査,2003,8.0,10.3,23.7,10.3,17.7,6.4,23.1,0.5
業種別,,総合商品小売業,189,7.9,10.1,22.2,6.3,15.3,5.3,32.3,0.5
業種別,,生鮮食品小売業,134,5.2,11.2,29.9,9.7,13.4,9.7,20.1,0.7
業種別,,食料品関連小売業,535,5.0,9.3,28.8,10.5,15.0,8.6,22.4,0.4
業種別,,衣料品関連小売業,298,6.7,12.1,30.2,10.1,15.1,5.7,19.8,0.3
業種別,,住関連小売業,167,7.2,9.6,19.8,13.2,16.8,6.6,26.3,0.6
業種別,,その他小売業,773,10.9,9.8,23.0,10.0,15.1,6.9,23.8,0.5
