表側１,表側２,表側３,回答企業数(件),1千万円未満(％),1～3千万円未満(％),3～5千万円未満(％),5千万～1億円未満(％),1～3億円未満(％),3～5億円未満(％),5～10億円未満(％),10億円以上(％),無回答(％)
,,今回調査（全体）,760,41.2,16.2,8.8,7.6,13.2,4.3,3.6,1.3,3.8
,,前回調査,823,41.9,19.1,7.4,9.2,9.4,2.9,3,1.1,6
業種別,,食料品卸売業,237,39.7,16.5,9.7,8,12.7,4.6,4.6,1.3,3
業種別,,生鮮食品卸売業,126,33.3,19.8,8.7,11.1,15.1,2.4,4.8,0.8,4
業種別,,加工食品等卸売業,111,46.8,12.6,10.8,4.5,9.9,7.2,4.5,1.8,1.8
業種別,,衣料品関連卸売業,145,48.3,13.8,8.3,9.7,11,1.4,3.4,1.4,2.8
業種別,,住関連卸売業,83,41,19.3,8.4,4.8,10.8,6,3.6,1.2,4.8
業種別,,その他卸売業,288,39.2,16,8.7,7.3,15.3,4.9,2.4,1.4,4.9
従業者規模別,,1～5人,399,59.9,22.3,7.8,4,3.3,0,0,0,2.8
従業者規模別,,6～9人,101,28.7,9.9,17.8,18.8,17.8,4,0,0,3
従業者規模別,,10～49人,208,16.8,9.6,8.2,10.1,32.2,11.5,5.8,0,5.8
従業者規模別,,50人以上,36,8.3,2.8,0,2.8,5.6,13.9,36.1,27.8,2.8
取引形態別,一次卸,小売直取引卸,219,46.1,12.3,8.2,8.2,11.9,5.5,3.2,1.4,3.2
取引形態別,一次卸,他部門直取引卸,50,32,16,8,10,16,6,4,2,6
取引形態別,一次卸,元卸,154,33.1,16.9,9.7,9.7,18.2,3.9,3.9,2.6,1.9
取引形態別,二次卸,中間卸,85,47.1,18.8,10.6,8.2,7.1,4.7,1.2,0,2.4
取引形態別,二次卸,最終卸,135,35.6,20,8.9,7.4,16.3,3,4.4,0.7,3.7
取引形態別,その他,製造問屋,19,26.3,21.1,10.5,5.3,15.8,0,15.8,0,5.3
取引形態別,その他,その他卸,77,53.2,18.2,5.2,2.6,7.8,3.9,2.6,1.3,5.2
