,,40歳未満,40歳代,50歳代,60歳代,70歳以上,無回答,ｎ
,今回調査（全体）,3,15.2,28.5,29.6,22.7,0.9,2348
業種別,情報・コンテンツ業,6.1,20.3,32.3,28.8,11.6,0.9,640
業種別,専門サービス業,2.2,13.2,26.3,29.4,27.9,1,820
業種別,技術サービス業,0.9,12.1,20,34.7,31.8,0.6,340
業種別,事業サービス業,2,14.6,33.5,27.6,21.3,1,507
特定10業種別,ソフトウェア業,7.3,19.9,34.3,31.1,6.3,1,286
特定10業種別,インターネット附随サービス業,14.5,29,38.7,9.7,6.5,1.6,62
特定10業種別,映像情報制作・配給業,4.4,19.1,33.8,33.8,8.8,0,68
特定10業種別,出版業,0,16.4,20,36.4,27.3,0,55
特定10業種別,税理士事務所,0.9,6.4,16.1,27.1,48.2,1.4,218
特定10業種別,デザイン業,0,17.3,36.5,32.7,12.5,1,104
特定10業種別,経営コンサルタント業,2.2,16.8,27.4,34.6,17.9,1.1,179
特定10業種別,建築設計業,0.6,9.4,17.8,38.9,32.2,1.1,180
特定10業種別,自動車整備業,0,11.1,22.2,20.4,44.4,1.9,54
特定10業種別,建物サービス業,0,10.8,33.3,27,27,1.8,111
従業者規模別,1～2人,3.5,15.4,26.6,30.3,24,0.2,971
従業者規模別,3～5人,1.9,15,27.2,28.4,26.9,0.5,573
従業者規模別,6～9人,1.6,9.6,29.6,29.2,29.6,0.4,250
従業者規模別,10～29人,3.8,19.3,33.2,28.2,14.9,0.6,316
従業者規模別,30人以上,3.8,15.7,35.2,35.2,8.1,1.9,210
