,,20歳代              ,30歳代              ,40歳代              ,50歳代              ,60歳代              ,70歳以上            ,無回答,ｎ
,今回調査（全体）,1.1,12.1,26,29.8,19.3,8.5,3.2,2348
,前回調査,1.2,13,29.2,28.2,17,6.9,4.5,2263
業種別,情報・コンテンツ業,2,23.1,30.9,25.6,12.5,3.3,2.5,640
業種別,専門サービス業,0.9,6,22.8,32.7,22.8,11.7,3.2,820
業種別,技術サービス業,0.6,8.2,26.5,27.4,22.4,11.8,3.2,340
業種別,事業サービス業,1,10.5,24.9,32.1,19.9,8.1,3.6,507
特定10業種別,ソフトウェア業,1,28.3,35,23.4,9.1,1.4,1.7,286
特定10業種別,インターネット附随サービス業,3.2,27.4,29,29,6.5,1.6,3.2,62
特定10業種別,映像情報制作・配給業,4.4,25,29.4,30.9,8.8,0,1.5,68
特定10業種別,出版業,0,1.8,21.8,41.8,23.6,9.1,1.8,55
特定10業種別,税理士事務所,0.9,5.5,16.1,36.7,18.8,19.7,2.3,218
特定10業種別,デザイン業,1,9.6,25,31.7,20.2,4.8,7.7,104
特定10業種別,経営コンサルタント業,0.6,2.8,24.6,31.3,30.2,7.3,3.4,179
特定10業種別,建築設計業,0,10,25,24.4,25,12.2,3.3,180
特定10業種別,自動車整備業,0,3.7,14.8,33.3,24.1,20.4,3.7,54
特定10業種別,建物サービス業,0.9,4.5,15.3,34.2,27.9,10.8,6.3,111
従業者規模別,1～2人,0.4,5.3,15.9,28.6,28.2,17.9,3.7,971
従業者規模別,3～5人,1.4,7.5,22.7,40.5,22.5,3.7,1.7,573
従業者規模別,6～9人,0.4,9.2,40.4,38.4,8.8,0.8,2,250
従業者規模別,10～29人,2.5,29.4,43,19.3,3.8,0.3,1.6,316
従業者規模別,30人以上,2.9,32.9,41,12.4,7.1,0.5,3.3,210
