学歴,勤続年数（年）,年齢（歳）,モデル所定時間内賃金／記入企業数（社）,モデル所定時間内賃金／金額Ａ（千円）,自己都合退職／退職金支給額／記入企業数（社）,自己都合退職／退職金支給額／金額Ｂ（千円）,自己都合退職／支給率（月数）／Ｂ/Ａ（月数）,会社都合退職／退職金支給額／記入企業数（社）,会社都合退職／退職金支給額／金額Ｃ（千円）,会社都合退職／支給率（月数）／Ｃ/Ａ（月数）
高校卒,1,19,4,x,2,x,x,4,x,x
高校卒,3,21,3,x,3,x,x,4,x,x
高校卒,5,23,3,x,5,393,1.9,5,419,2
高校卒,10,28,2,x,4,x,x,4,x,x
高校卒,15,33,2,x,4,x,x,4,x,x
高校卒,20,38,2,x,4,x,x,4,x,x
高校卒,25,43,2,x,4,x,x,4,x,x
高校卒,30,48,2,x,4,x,x,4,x,x
高校卒,35,53,2,x,4,x,x,4,x,x
高校卒,37,55,2,x,3,x,x,3,x,x
高校卒,定年,定年,2,x,-,-,-,3,x,x
高専・短大卒,1,21,5,193,3,x,x,5,68,0.4
高専・短大卒,3,23,4,x,4,x,x,5,244,1.2
高専・短大卒,5,25,4,x,6,445,2,6,472,2.1
高専・短大卒,10,30,3,x,5,1400,5.4,5,1457,5.7
高専・短大卒,15,35,3,x,5,2588,8.8,5,2588,8.8
高専・短大卒,20,40,3,x,5,3909,11.7,5,3909,11.7
高専・短大卒,25,45,3,x,5,5443,15,5,5443,15
高専・短大卒,30,50,2,x,5,7309,19.7,5,7309,19.7
高専・短大卒,35,55,2,x,5,9147,22.9,5,9147,22.9
高専・短大卒,定年,定年,2,x,-,-,-,3,x,x
大学卒,1,23,5,215,2,x,x,4,x,x
大学卒,3,25,5,228,5,227,1,5,250,1.1
大学卒,5,27,6,254,8,453,1.8,6,647,2.5
大学卒,10,32,3,x,5,1339,4.7,4,x,x
大学卒,15,37,3,x,5,2425,7.7,4,x,x
大学卒,20,42,5,390,6,3617,9.3,5,4702,12.1
大学卒,25,47,3,x,5,4779,12.2,4,x,x
大学卒,30,52,4,x,6,6402,14.5,5,8498,19.3
大学卒,33,55,3,x,5,7250,16.5,4,x,x
大学卒,定年,定年,4,x,-,-,-,5,12449,21.6
