学歴,勤続年数（年）,年齢（歳）,モデル所定時間内賃金／記入企業数（社）,モデル所定時間内賃金／金額Ａ（千円）,自己都合退職／退職金支給額／記入企業数（社）,自己都合退職／退職金支給額／金額Ｂ（千円）,自己都合退職／支給率（月数）／Ｂ/Ａ（月数）,会社都合退職／退職金支給額／記入企業数（社）,会社都合退職／退職金支給額／金額Ｃ（千円）,会社都合退職／支給率（月数）／Ｃ/Ａ（月数）
高校卒,1,19,216,186,57,65,0.3,97,99,0.5
高校卒,3,21,199,196,244,189,1,245,274,1.4
高校卒,5,23,196,208,273,358,1.7,267,489,2.4
高校卒,10,28,207,238,287,907,3.8,277,1223,5.1
高校卒,15,33,194,263,273,1705,6.5,265,2148,8.2
高校卒,20,38,197,289,277,2729,9.4,270,3284,11.4
高校卒,25,43,185,320,264,3971,12.4,256,4656,14.6
高校卒,30,48,186,346,266,5325,15.4,258,6046,17.5
高校卒,35,53,182,373,257,6725,18,250,7575,20.3
高校卒,37,55,182,381,249,7415,19.5,240,8486,22.3
高校卒,定年,定年,181,429,-,-,-,221,9940,23.2
高専・短大卒,1,21,204,198,58,74,0.4,94,108,0.5
高専・短大卒,3,23,188,209,225,204,1,223,288,1.4
高専・短大卒,5,25,185,222,248,385,1.7,239,517,2.3
高専・短大卒,10,30,183,251,254,987,3.9,246,1269,5.1
高専・短大卒,15,35,182,282,252,1837,6.5,243,2274,8.1
高専・短大卒,20,40,179,312,252,2924,9.4,244,3465,11.1
高専・短大卒,25,45,177,345,247,4230,12.3,237,4935,14.3
高専・短大卒,30,50,174,374,247,5658,15.1,238,6459,17.3
高専・短大卒,35,55,173,397,244,7074,17.8,236,8017,20.2
高専・短大卒,定年,定年,170,444,-,-,-,198,9832,22.1
大学卒,1,23,276,214,77,95,0.4,121,132,0.6
大学卒,3,25,270,227,304,238,1,296,338,1.5
大学卒,5,27,267,252,337,470,1.9,319,641,2.5
大学卒,10,32,263,276,340,1121,4.1,326,1498,5.4
大学卒,15,37,256,311,329,2129,6.8,317,2658,8.5
大学卒,20,42,256,350,334,3431,9.8,321,4147,11.8
大学卒,25,47,245,384,322,4906,12.8,308,5782,15.1
大学卒,30,52,245,413,324,6536,15.8,311,7542,18.3
大学卒,33,55,242,432,315,7760,18,302,8762,20.3
大学卒,定年,定年,234,478,-,-,-,276,10918,22.8
