日本標準産業分類/大分類,日本標準産業分類/中分類,日本標準産業分類/小分類・細分類,母集団割合（％）,本報告書での分類,回答割合（％）
"Ⅰ卸売業,小売業",56各種商品小売業,569その他の各種商品小売業（従業者が常時50人未満のもの）,,総合商品小売業,
"Ⅰ卸売業,小売業",58飲食料品小売業,5891コンビニエンスストア,,総合商品小売業,
,,569その他の各種商品小売業（従業者が常時50人未満のもの）/5891コンビニエンスストア,6.6,総合商品小売業,8.2
"Ⅰ卸売業,小売業",58飲食料品小売業,582野菜・果実小売業,,生鮮食品小売業,
"Ⅰ卸売業,小売業",58飲食料品小売業,583食肉小売業,,生鮮食品小売業,
"Ⅰ卸売業,小売業",58飲食料品小売業,584鮮魚小売業,,生鮮食品小売業,
,,582野菜・果実小売業/583食肉小売業/584鮮魚小売業,6.1,生鮮食品小売業,5.6
"Ⅰ卸売業,小売業",58飲食料品小売業,581各種食料品小売業,,食料品関連小売業,
"Ⅰ卸売業,小売業",58飲食料品小売業,585酒小売業,,食料品関連小売業,
"Ⅰ卸売業,小売業",58飲食料品小売業,586菓子・パン小売業,,食料品関連小売業,
"Ⅰ卸売業,小売業",58飲食料品小売業,589その他の飲食料品小売業（コンビニエンスストアを除く）,,食料品関連小売業,
,,581各種食料品小売業/585酒小売業/586菓子・パン小売業/589その他の飲食料品小売業（コンビニエンスストアを除く）,24.3,食料品関連小売業,25.5
"Ⅰ卸売業,小売業",57織物・衣服・身の回り品小売業,571呉服・服地・寝具小売業,,衣料品関連小売業,
"Ⅰ卸売業,小売業",57織物・衣服・身の回り品小売業,572男子服小売業,,衣料品関連小売業,
"Ⅰ卸売業,小売業",57織物・衣服・身の回り品小売業,573婦人・子供服小売業,,衣料品関連小売業,
"Ⅰ卸売業,小売業",57織物・衣服・身の回り品小売業,574靴・履物小売業,,衣料品関連小売業,
"Ⅰ卸売業,小売業",57織物・衣服・身の回り品小売業,579その他の織物・衣服・身の回り品小売業,,衣料品関連小売業,
,,571呉服・服地・寝具小売業/572男子服小売業/573婦人・子供服小売業/574靴・履物小売業/579その他の織物・衣服・身の回り品小売業,15.5,衣料品関連小売業,15.7
"Ⅰ卸売業,小売業",59機械器具小売業,593機械器具小売業（自動車，自転車を除く）,,住関連小売業,
"Ⅰ卸売業,小売業",60その他の小売業,601家具・建具・畳小売業,,住関連小売業,
"Ⅰ卸売業,小売業",60その他の小売業,602じゅう器小売業,,住関連小売業,
,,593機械器具小売業（自動車，自転車を除く）/601家具・建具・畳小売業/602じゅう器小売業,10.2,住関連小売業,8.1
"Ⅰ卸売業,小売業",60その他の小売業,603医薬品・化粧品小売業,,その他小売業,
"Ⅰ卸売業,小売業",60その他の小売業,606書籍・文房具小売業,,その他小売業,
"Ⅰ卸売業,小売業",60その他の小売業,607スポーツ用品・がん具・娯楽用品・楽器小売業,,その他小売業,
"Ⅰ卸売業,小売業",60その他の小売業,608写真機・時計・眼鏡小売業,,その他小売業,
"Ⅰ卸売業,小売業",60その他の小売業,609他に分類されない小売業,,その他小売業,
"Ⅰ卸売業,小売業",59機械器具小売業,592自転車小売業,,その他小売業,
,,603医薬品・化粧品小売業/606書籍・文房具小売業/607スポーツ用品・がん具・娯楽用品・楽器小売業/608写真機・時計・眼鏡小売業/609他に分類されない小売業/592自転車小売業,37.2,その他小売業,36.8
,,,,無回答,0.1
,,計,100,計,100
