区分,同一役職の支給額は同じ／集計企業数（社）,同一役職の支給額は同じ／役付者平均／平均年齢（歳）,同一役職の支給額は同じ／役付者平均／金額（円）,同一役職の支給額は同じ／部長／平均年齢（歳）,同一役職の支給額は同じ／部長／金額（円）,同一役職の支給額は同じ／課長／平均年齢（歳）,同一役職の支給額は同じ／課長／金額（円）,同一役職の支給額は同じ／係長／平均年齢（歳）,同一役職の支給額は同じ／係長／金額（円）,同一役職でも支給額が異なる／集計企業数（社）,同一役職でも支給額が異なる／役付者平均／平均年齢（歳）,同一役職でも支給額が異なる／役付者平均／金額（円）,同一役職でも支給額が異なる／部長／平均年齢（歳）,同一役職でも支給額が異なる／部長／金額（円）,同一役職でも支給額が異なる／課長／平均年齢（歳）,同一役職でも支給額が異なる／課長／金額（円）,同一役職でも支給額が異なる／係長／平均年齢（歳）,同一役職でも支給額が異なる／係長／金額（円）
調査産業計／最高,,,,,400000,,389700,,120000,,,,,450000,,210000,,105000
調査産業計／平均,352,47.1,53845,51.3,83916,47.3,57620,43.6,26164,218,46.5,60208.4,50.6,101933,46.8,56848,42.6,23815
調査産業計／最低,,,,,10000,,5000,,4000,,,,,10000,,10000,,1000
建設業／最高,,,,,251000,,202600,,55000,,,,,215300,,103500,,80000
建設業／平均,27,47.8,78779,51.8,101127,47.5,85723,43.7,31580,19,48.1,69434.9,53.4,103156,51.5,67290,41,32548
建設業／最低,,,,,20000,,20000,,10000,,,,,35300,,20000,,4300
製造業／最高,,,,,225000,,120000,,100000,,,,,247500,,130000,,47000
製造業／平均,103,48,48254,53.1,80023,48.6,53290,44.3,25412,61,49.6,49597,53.9,89121,49.9,47783,45.5,19266
製造業／最低,,,,,15000,,9300,,5000,,,,,10000,,10000,,3000
情報通信業／最高,,,,,270000,,220000,,50000,,,,,191800,,83800,,100000
情報通信業／平均,22,44.6,63335,47.4,100068,45.4,73232,41.9,31701,15,40.1,59402.9,44.9,69088,40.4,55565,36.9,52409
情報通信業／最低,,,,,25000,,10000,,5000,,,,,30000,,15000,,5000
運輸業，郵便業／最高,,,,,270000,,170000,,120000,,,,,100000,,90000,,65000
運輸業，郵便業／平均,22,49.3,68211,53.2,119885,50.3,63459,45.6,36980,10,49.9,54809.6,54.8,96250,52.5,65686,46.7,39230
運輸業，郵便業／最低,,,,,50000,,20000,,5000,,,,,85000,,40500,,10000
卸売業，小売業／最高,,,,,150000,,389700,,65000,,,,,247300,,105000,,82000
卸売業，小売業／平均,79,48.1,43215,52.1,61920,47.7,45373,45.3,25285,41,45.8,52293.2,52,89304,44.7,44346,40.9,23803
卸売業，小売業／最低,,,,,10000,,10000,,5000,,,,,22500,,10000,,5000
金融業，保険業／最高,,,,,x,,x,,x,,,,,234800,,116600,,23000
金融業，保険業／平均,3,x,x,x,x,x,x,x,x,5,47.5,82402.6,49.6,151738,46.3,80337,47,13800
金融業，保険業／最低,,,,,x,,x,,x,,,,,30000,,15000,,9000
不動産業，物品賃貸業／最高,,,,,x,,x,,x,,,,,164600,,100000,,24100
不動産業，物品賃貸業／平均,3,x,x,x,x,x,x,x,x,5,45.5,75332.2,49.8,110429,41.5,90180,47.2,18400
不動産業，物品賃貸業／最低,,,,,x,,x,,x,,,,,27500,,30000,,10000
学術研究，専門・技術サービス業／最高,,,,,120000,,150000,,42300,,,,,244400,,-,,105000
学術研究，専門・技術サービス業／平均,22,43.7,45351,48.1,62779,43,42626,38.7,27056,10,44.2,212050,49.5,227342,44.5,-,36.5,105000
学術研究，専門・技術サービス業／最低,,,,,30000,,10000,,5000,,,,,139100,,-,,105000
宿泊業，飲食サービス業／最高,,,,,50000,,35000,,30000,,,,,105000,,82000,,70000
宿泊業，飲食サービス業／平均,7,43.6,35000,40.3,48000,51.2,32500,43.8,23000,9,46.8,52619.6,46.7,75147,43.9,52610,51.5,27452
宿泊業，飲食サービス業／最低,,,,,30000,,30000,,20000,,,,,50000,,35000,,11700
生活関連サービス業，娯楽業／最高,,,,,400000,,350000,,50000,,,,,450000,,106600,,40000
