表側,2016年
各種商品卸売業(％),3
繊維・衣服等卸売業(％),9
飲食料品卸売業(％),13.9
建築材料，鉱物・金属材料等卸売業(％),18.5
機械器具卸売業(％),32.6
その他の卸売業(％),23.1
従業者数(人),788982
