表側,構成比
各種商品小売業(%),0.4
織物・衣服・身の回り品小売業(%),16.8
飲食料品小売業(%),31.6
機械器具小売業(%),9.3
その他の小売業(%),36.3
無店舗小売業(%),5.7
事業所数(所),68216
