学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和4年年間給与支払額（円）
学歴計,～17歳,-,-,-,-,-,-,-,-
学歴計,18～19歳,4,x,x,x,5,0.8,-,-
学歴計,20～21歳,-,-,-,-,2,x,x,x
学歴計,22～24歳,9,2.3,193492,2687625,14,1.9,205429,2500141
学歴計,25～29歳,13,2.7,230820,3347270,31,3.5,236289,3071534
学歴計,30～34歳,10,4.6,294557,4176289,12,6.1,267104,3794658
学歴計,35～39歳,14,10.6,335892,5528524,14,8.3,239789,3641991
学歴計,40～44歳,14,9.9,369444,5046903,24,11.7,270901,3542226
学歴計,45～49歳,14,13.4,378006,4890002,12,14.4,292404,4014653
学歴計,50～54歳,5,14.4,465819,5222341,20,13.1,288754,4211853
学歴計,55～59歳,4,x,x,x,12,8.9,273490,3493589
学歴計,60歳以上,6,24,288060,3658247,7,12.7,237863,2993600
中学卒,～17歳,-,-,-,-,-,-,-,-
中学卒,18～19歳,-,-,-,-,-,-,-,-
中学卒,20～21歳,-,-,-,-,-,-,-,-
中学卒,22～24歳,-,-,-,-,-,-,-,-
中学卒,25～29歳,-,-,-,-,-,-,-,-
中学卒,30～34歳,-,-,-,-,-,-,-,-
中学卒,35～39歳,-,-,-,-,-,-,-,-
中学卒,40～44歳,-,-,-,-,-,-,-,-
中学卒,45～49歳,-,-,-,-,-,-,-,-
中学卒,50～54歳,-,-,-,-,-,-,-,-
中学卒,55～59歳,-,-,-,-,-,-,-,-
中学卒,60歳以上,-,-,-,-,-,-,-,-
高校卒,18～19歳,-,-,-,-,-,-,-,-
高校卒,20～21歳,-,-,-,-,-,-,-,-
高校卒,22～24歳,-,-,-,-,-,-,-,-
高校卒,25～29歳,2,x,x,x,-,-,-,-
高校卒,30～34歳,1,x,x,x,-,-,-,-
高校卒,35～39歳,-,-,-,-,1,x,x,x
高校卒,40～44歳,2,x,x,x,-,-,-,-
高校卒,45～49歳,-,-,-,-,-,-,-,-
高校卒,50～54歳,-,-,-,-,-,-,-,-
高校卒,55～59歳,-,-,-,-,-,-,-,-
高校卒,60歳以上,-,-,-,-,-,-,-,-
高専・短大卒,18～19歳,-,-,-,-,-,-,-,-
高専・短大卒,20～21歳,-,-,-,-,-,-,-,-
高専・短大卒,22～24歳,-,-,-,-,-,-,-,-
高専・短大卒,25～29歳,-,-,-,-,-,-,-,-
高専・短大卒,30～34歳,-,-,-,-,1,x,x,x
高専・短大卒,35～39歳,-,-,-,-,-,-,-,-
高専・短大卒,40～44歳,-,-,-,-,1,x,x,x
高専・短大卒,45～49歳,-,-,-,-,-,-,-,-
高専・短大卒,50～54歳,-,-,-,-,1,x,x,x
高専・短大卒,55～59歳,1,x,x,x,2,x,x,x
高専・短大卒,60歳以上,-,-,-,-,1,x,x,x
専門学校卒,20～21歳,-,-,-,-,-,-,-,-
専門学校卒,22～24歳,3,x,x,x,3,x,x,x
専門学校卒,25～29歳,4,x,x,x,7,2.7,236592,3467631
専門学校卒,30～34歳,3,x,x,x,-,-,-,-
専門学校卒,35～39歳,6,13.3,335043,5453383,5,12.8,232475,3557980
専門学校卒,40～44歳,1,x,x,x,3,x,x,x
専門学校卒,45～49歳,1,x,x,x,4,x,x,x
専門学校卒,50～54歳,-,-,-,-,7,15.3,242223,3206700
専門学校卒,55～59歳,1,x,x,x,3,x,x,x
専門学校卒,60歳以上,-,-,-,-,1,x,x,x
大学卒,20～21歳,-,-,-,-,2,x,x,x
大学卒,22～24歳,6,2.5,188550,2874000,11,1.9,203922,2270366
大学卒,25～29歳,7,1.4,222086,3495875,24,3.7,236213,2930071
大学卒,30～34歳,6,3.3,320000,4895275,11,6.3,261840,3796088
大学卒,35～39歳,8,8.5,336619,5603665,8,6.3,251765,3919920
大学卒,40～44歳,10,9.7,378426,4618943,20,12.2,279404,3696449
大学卒,45～49歳,13,13.5,384007,5058085,8,18.9,327686,4163697
大学卒,50～54歳,5,14.4,465819,5222341,12,12.3,322201,5061925
大学卒,55～59歳,2,x,x,x,7,8.9,263524,3149067
大学卒,60歳以上,6,24,288060,3658247,5,10.8,215475,3004450
