区分,集計企業数（社）,(1)～(11)／回答数（社）,複数回答／営業販売系／(1)+(2)小計（社）, 複数回答／営業販売系／(1)営業（社）, 複数回答／営業販売系／(2) 販売（社）,複数回答／事務系／(3)～(5)小計（社）,複数回答／事務系／(3)一般事務（社）,複数回答／事務系／(4)会計事務（社）,複数回答／事務系／(5)営業事務・販売事務（社）,複数回答／技術系／(6)～(9)小計（社）,複数回答／技術系／(6)機械技術（社）,複数回答／技術系／(7)電気技術（社）,複数回答／技術系／(8)情報処理技術（社）,複数回答／技術系／(9)その他の技術（社）,複数回答／生産系／(10)+(11)小計（社）,複数回答／生産系／(10)生産・作業（社）,複数回答／生産系／(11)運転・運搬（社）,複数回答／(12)その他（社）,回答なし（社）
調査産業計,1012,1484,440,349,91,554,295,120,139,300,65,54,60,121,190,155,35,98,219
労組有,75,165,36,32,4,63,32,14,17,37,11,7,8,11,29,22,7,7,11
労組無,937,1319,404,317,87,491,263,106,122,263,54,47,52,110,161,133,28,91,208
建設業,85,141,19,18,1,47,29,9,9,62,6,19,1,36,13,13,-,1,10
製造業,274,564,139,127,12,213,100,54,59,110,37,26,16,31,102,97,5,12,60
情報通信業,50,84,19,18,1,32,18,9,5,33,-,-,26,7,-,-,-,7,5
運輸業，郵便業,55,68,7,7,-,27,19,4,4,6,1,-,1,4,28,8,20,5,11
卸売業，小売業,195,271,135,76,59,88,41,15,32,25,6,4,6,9,23,17,6,7,40
金融業，保険業,43,48,15,15,-,32,21,3,8,1,-,-,-,1,-,-,-,1,15
不動産業，物品賃貸業,30,36,14,12,2,19,12,4,3,3,-,-,1,2,-,-,-,3,5
学術研究，専門・技術サービス業,58,65,26,25,1,28,12,8,8,9,-,-,1,8,2,2,-,7,20
宿泊業，飲食サービス業,49,28,13,7,6,11,7,2,2,1,-,-,-,1,3,3,-,17,14
生活関連サービス業，娯楽業,33,37,22,18,4,13,9,1,3,1,-,-,1,-,1,-,1,6,6
教育，学習支援業（学校教育を除く）,32,36,14,11,3,14,10,2,2,7,-,-,3,4,1,1,-,10,6
医療，福祉,43,18,3,2,1,7,3,2,2,8,-,-,1,7,-,-,-,18,14
サービス業（他に分類されないもの）,65,88,14,13,1,23,14,7,2,34,15,5,3,11,17,14,3,4,13
10～49人,642,803,267,198,69,277,151,56,70,144,30,25,24,65,115,97,18,69,146
50～99人,225,346,90,77,13,145,77,33,35,72,16,11,17,28,39,32,7,22,53
100～299人,145,335,83,74,9,132,67,31,34,84,19,18,19,28,36,26,10,7,20
