表側,2016年
各種商品卸売業(％),0.3
繊維・衣服等卸売業(％),11
飲食料品卸売業(％),16.1
建築材料，鉱物・金属材料等卸売業(％),21.4
機械器具卸売業(％),25.6
その他の卸売業(％),25.6
事業所数(所),37280
