学歴,勤続年数（年）,年齢（歳）,モデル所定時間内賃金／記入企業数（社）,モデル所定時間内賃金／金額Ａ（千円）,自己都合退職／退職金支給額／記入企業数（社）,自己都合退職／退職金支給額／金額Ｂ（千円）,自己都合退職／支給率（月数）／Ｂ/Ａ（月数）,会社都合退職／退職金支給額／記入企業数（社）,会社都合退職／退職金支給額／金額Ｃ（千円）,会社都合退職／支給率（月数）／Ｃ/Ａ（月数）
高校卒,1,19,157,187,45,69,0.4,72,100,0.5
高校卒,3,21,146,196,190,191,1,189,268,1.4
高校卒,5,23,145,208,209,357,1.7,204,479,2.3
高校卒,10,28,155,237,225,878,3.7,216,1188,5
高校卒,15,33,143,261,212,1623,6.2,205,2038,7.8
高校卒,20,38,146,285,214,2556,9,208,3084,10.8
高校卒,25,43,137,312,205,3665,11.7,199,4311,13.8
高校卒,30,48,137,339,206,4872,14.4,200,5589,16.5
高校卒,35,53,133,366,197,6143,16.8,192,6914,18.9
高校卒,37,55,135,374,192,6750,18,185,7647,20.4
高校卒,定年,定年,133,434,-,-,-,164,8920,20.6
高専・短大卒,1,21,148,198,45,74,0.4,69,108,0.5
高専・短大卒,3,23,138,209,167,205,1,167,277,1.3
高専・短大卒,5,25,137,221,184,382,1.7,178,495,2.2
高専・短大卒,10,30,137,250,192,944,3.8,187,1196,4.8
高専・短大卒,15,35,132,279,187,1716,6.2,181,2099,7.5
高専・短大卒,20,40,133,307,190,2688,8.8,185,3182,10.4
高専・短大卒,25,45,131,339,185,3851,11.4,179,4482,13.2
高専・短大卒,30,50,127,364,184,5121,14.1,179,5846,16.1
高専・短大卒,35,55,127,390,182,6483,16.6,178,7303,18.7
高専・短大卒,定年,定年,121,452,-,-,-,144,8919,19.7
大学卒,1,23,191,213,58,95,0.4,85,127,0.6
大学卒,3,25,190,225,220,239,1.1,215,324,1.4
大学卒,5,27,189,253,243,473,1.9,231,627,2.5
大学卒,10,32,187,272,247,1074,3.9,238,1424,5.2
大学卒,15,37,179,307,237,1993,6.5,230,2473,8.1
大学卒,20,42,181,340,241,3184,9.4,233,3859,11.4
大学卒,25,47,173,374,233,4443,11.9,225,5251,14
大学卒,30,52,172,400,234,5941,14.9,227,6870,17.2
大学卒,33,55,169,421,226,7009,16.6,220,7934,18.8
大学卒,定年,定年,165,485,-,-,-,195,9974,20.6
