,,10％未満            ,10～30％未満        ,30～50％未満        ,50～80％未満        ,80％以上            ,無回答,ｎ
,今回調査（全体）,74,19.7,1.7,1.7,2.3,0.6,173
業種別,情報・コンテンツ業,64.3,28.6,0,3.6,3.6,0,28
業種別,専門サービス業,78.7,10.6,4.3,2.1,4.3,0,47
業種別,技術サービス業,70,26.7,0,0,0,3.3,30
業種別,事業サービス業,74.6,20.6,1.6,1.6,1.6,0,63
従業者規模別,1～2人,65.4,23.1,3.8,1.9,5.8,0,52
従業者規模別,3～5人,81.4,13.6,1.7,0,1.7,1.7,59
従業者規模別,6～9人,63.6,27.3,0,9.1,0,0,22
従業者規模別,10～29人,68.4,31.6,0,0,0,0,19
従業者規模別,30人以上,90,10,0,0,0,0,20
