区分,集計企業数（社）,同一役職の支給額は同じ／役付者平均／平均年齢（歳）,同一役職の支給額は同じ／役付者平均／金額（円）,同一役職の支給額は同じ／部長／平均年齢（歳）,同一役職の支給額は同じ／部長／金額（円）,同一役職の支給額は同じ／課長／平均年齢（歳）,同一役職の支給額は同じ／課長／金額（円）,同一役職の支給額は同じ／係長／平均年齢（歳）,同一役職の支給額は同じ／係長／金額（円）,同一役職でも支給額が異なる／集計企業数（社）,同一役職でも支給額が異なる／役付者平均／平均年齢（歳）,同一役職でも支給額が異なる／役付者平均／金額（円）,同一役職でも支給額が異なる／部長／平均年齢（歳）,同一役職でも支給額が異なる／部長／金額（円）,同一役職でも支給額が異なる／課長／平均年齢（歳）,同一役職でも支給額が異なる／課長／金額（円）,同一役職でも支給額が異なる／係長／平均年齢（歳）,同一役職でも支給額が異なる／係長／金額（円）
調査産業計／最高,,,,,460000,,370000,,190000,,,,,450000,,370000,,280000
調査産業計／平均,476,47.3,55239,51.2,87469,47.5,60098,44.2,25597,239,47,56814.6,50.7,92559,47.7,53384,42.9,29656
調査産業計／最低,,,,,6000,,1700,,3000,,,,,3800,,2700,,5000
建設業／最高,,,,,315000,,240000,,190000,,,,,210000,,180000,,160000
建設業／平均,43,48.6,79930,53.3,106136,48.9,85323,44.5,52299,26,48.5,76304.7,52.8,116980,49.2,80618,43.1,25539
建設業／最低,,,,,10000,,5000,,3000,,,,,40000,,20000,,6200
製造業／最高,,,,,250000,,200000,,80000,,,,,450000,,370000,,280000
製造業／平均,150,47.9,44259,51.3,78350,48,50606,46,17756,61,47.8,58503.6,51.7,92161,48.7,54367,43.8,36286
製造業／最低,,,,,15000,,10000,,3000,,,,,20000,,7000,,5000
情報通信業／最高,,,,,218000,,208300,,70000,,,,,350000,,170000,,134000
情報通信業／平均,24,46.4,60154,51,98803,47.6,73988,42.3,19194,16,46.2,58379.3,49,97875,47.4,52337,42.3,33539
情報通信業／最低,,,,,10000,,6200,,4000,,,,,45600,,15500,,10000
運輸業，郵便業／最高,,,,,130000,,80000,,50000,,,,,170000,,205000,,173800
運輸業，郵便業／平均,18,51.9,32700,55.5,36343,52.6,38228,47.4,20454,16,48.6,53767.3,53.3,87291,48.7,74861,46.6,24486
運輸業，郵便業／最低,,,,,7000,,3400,,10000,,,,,28300,,28800,,6000
卸売業，小売業／最高,,,,,230000,,150000,,60000,,,,,192000,,176100,,104300
卸売業，小売業／平均,90,47.8,44881,51.9,69006,47.7,44614,43.8,22282,40,46.9,57215,50.9,98215,48.7,55898,42.6,32581
卸売業，小売業／最低,,,,,20000,,1700,,5000,,,,,35000,,10000,,10000
金融業，保険業／最高,,,,,395000,,268000,,153000,,,,,115200,,67500,,21400
金融業，保険業／平均,13,45.2,88440,49.3,146881,45.5,98164,40.8,15691,7,47.1,27403,54.1,34141,46.7,25526,39.5,16480
金融業，保険業／最低,,,,,61400,,10000,,7800,,,,,3800,,2700,,5000
不動産業，物品賃貸業／最高,,,,,150000,,70000,,30000,,,,,165700,,32800,,21600
不動産業，物品賃貸業／平均,14,44.2,59925,49.5,101030,43.9,49337,38.7,23846,9,39.1,39615,44.6,82413,37.6,27000,35.1,10684
不動産業，物品賃貸業／最低,,,,,42000,,25000,,20000,,,,,20800,,15000,,8600
学術研究，専門・技術サービス業／最高,,,,,253500,,120000,,120000,,,,,294000,,106700,,75000
学術研究，専門・技術サービス業／平均,28,43.6,47494,47.9,80208,42.5,33866,40.8,30596,18,45.7,71584.2,48.5,126724,46.6,49891,40.8,48461
学術研究，専門・技術サービス業／最低,,,,,6000,,3000,,5000,,,,,40000,,22500,,15000
宿泊業，飲食サービス業／最高,,,,,60000,,55000,,50000,,,,,150000,,100000,,32500
宿泊業，飲食サービス業／平均,7,47.1,41833,49.7,50000,46.6,45555,46.4,36333,9,45.1,45869,44.4,87676,44.5,44792,46.4,18736
宿泊業，飲食サービス業／最低,,,,,30000,,15000,,18000,,,,,30000,,8200,,7000
生活関連サービス業，娯楽業／最高,,,,,460000,,370000,,140000,,,,,110000,,80000,,20000
生活関連サービス業，娯楽業／平均,23,45.9,53735,49.4,83888,46.3,50666,41,26153,6,44.3,50724.1,50.4,68333,41.4,50000,42,14000
生活関連サービス業，娯楽業／最低,,,,,20000,,10000,,10000,,,,,47000,,20000,,8000
教育，学習支援業(学校教育を除く）／最高,,,,,100000,,65000,,45000,,,,,256300,,22500,,70000
教育，学習支援業(学校教育を除く）／平均,13,38,34118,42.2,52142,37.5,32320,34.6,22850,6,45.6,80228.3,48.6,122326,42.6,16666,41.3,32727
教育，学習支援業(学校教育を除く）／最低,,,,,20000,,16600,,7000,,,,,15000,,7500,,5000
医療，福祉／最高,,,,,150000,,50000,,30000,,,,,118600,,56000,,34000
