表側１,表側２,表側３,回答企業数(件),黒字が拡大(％),赤字から黒字に転換(％),赤字だが損失額は縮小(％),黒字でほぼ横ばい(±5％未満)(％),赤字でほぼ横ばい(±5％未満)(％),黒字だが利益額は減少(％),黒字から赤字に転落(％),赤字が拡大(％),無回答(％)
,,今回調査（全体）,1875,2.5,2.6,6.1,11.8,21,25.9,10,14.1,6.1
業種別,,総合商品小売業,148,6.8,1.4,5.4,26.4,10.1,31.1,6.8,7.4,4.7
業種別,,生鮮食品小売業,105,4.8,2.9,8.6,18.1,16.2,26.7,2.9,4.8,15.2
業種別,,食料品関連小売業,483,2.3,3.1,5.8,10.1,26.9,24.4,8.9,12.4,6
業種別,,衣料品関連小売業,290,1,1.7,5.9,5.2,23.1,22.4,11.4,23.8,5.5
業種別,,住関連小売業,155,3.2,1.9,6.5,14.2,18.1,28.4,6.5,14.2,7.1
業種別,,その他小売業,692,1.7,2.9,5.9,11,19.8,26.6,12.7,14.2,5.2
従業者規模別,,1～2人,1000,1.3,1.9,6.5,7.4,25.4,25.9,8.8,16,6.8
従業者規模別,,3～5人,460,2.6,2.8,5.2,14.1,20,25.2,9.8,13.7,6.5
従業者規模別,,6～19人,254,5.5,4.7,7.1,16.9,13.4,27.2,10.6,11.4,3.1
従業者規模別,,20人以上,127,5.5,3.1,3.1,27.6,5.5,26.8,18.9,6.3,3.1
