区分,高校卒（円）,高専・短大卒（円）,専門学校卒（円）,大学卒（円）
調査産業計,190873,201389,201938,215809
建設業,192043,203234,204383,218654
製造業,183358,195551,196461,212621
情報通信業,191467,200833,200379,217874
運輸業，郵便業,204078,204413,205930,215993
卸売業，小売業,190042,200751,199120,213649
金融業，保険業,204211,216109,213100,225931
不動産業，物品賃貸業,205573,210259,213706,228900
学術研究，専門・技術サービス業,198407,210236,209220,220711
宿泊業，飲食サービス業,202136,209365,211016,216564
生活関連サービス業，娯楽業,205833,217433,212917,224292
教育，学習支援業（学校教育を除く）,190210,196378,195640,215391
医療，福祉,190065,201718,210605,210509
サービス業（他に分類されないもの）,192413,198638,199088,209444
