区分,合計／集計人員（人）,合計／平均年齢（歳）,合計／平均勤続年数（年）,合計／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,合計／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,合計／令和5年7月1か月の平均賃金／所定時間外賃金（円）,合計／令和4年年間給与支払額（円）,男性／集計人員（人）,男性／平均年齢（歳）,男性／平均勤続年数（年）,男性／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,男性／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,男性／令和5年7月1か月の平均賃金／所定時間外賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員（人）,女性／平均年齢（歳）,女性／平均勤続年数（年）,女性／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,女性／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,女性／令和5年7月1か月の平均賃金／所定時間外賃金（円）,女性／令和4年年間給与支払額（円）
調査産業計,10050,39.9,8.6,319447,10123,31858,4786255,6446,40.6,9,330254,9734,38563,5021805,3604,38.6,7.7,300394,10818,20109,4334837
建設業,1377,40,8.9,324483,6453,46055,5260095,1164,39.7,8.8,334159,6436,51772,5470427,213,41.8,9.6,270681,6544,14553,4076087
製造業,2264,40.5,10.6,290119,12307,25365,4350093,1473,40.6,10.9,301937,12511,30755,4606556,791,40.3,9.9,267517,11927,15311,3846610
情報通信業,1508,36.2,7.8,350578,9329,37404,5384122,1020,37.3,8.9,363387,9580,38612,5570546,488,33.9,5.6,324095,8804,34804,4982556
運輸業，郵便業,787,46.9,9.3,285744,6550,48028,4275772,668,48.8,9.8,291850,5302,50285,4298902,119,36.8,6.5,258735,13558,37748,4123459
卸売業，小売業,1115,39.5,8.3,299219,10575,23245,4335531,580,40,8.7,323892,10539,31792,4682821,535,38.9,7.8,272801,10615,13857,3894704
金融業，保険業,573,40.2,8.8,443148,13095,44869,6980575,277,39.7,6.6,486042,13553,50009,7830826,296,40.6,10.8,403007,12666,40058,6203107
不動産業，物品賃貸業,507,32.1,4.7,314204,11456,15404,4630046,269,31.2,4.7,333145,10149,20780,5179367,238,33.1,4.8,293033,12933,9349,4021974
学術研究，専門・技術サービス業,410,40.1,6.9,411994,9590,17122,5797479,168,40.3,7.5,422765,10594,18369,6055420,242,39.9,6.5,404112,8893,16269,5601278
宿泊業，飲食サービス業,274,37.1,6.1,287434,13992,16789,3573612,135,40,7.5,291296,12850,23707,3771363,139,34.2,4.8,283711,15102,9761,3370211
生活関連サービス業，娯楽業,264,38.9,8.2,291105,13330,30736,4194195,140,40.1,8.3,301676,13105,39776,4359844,124,37.5,8.1,278963,13585,20011,3990977
教育，学習支援業（学校教育を除く）,146,37.8,6.5,263157,12732,9719,3425688,47,38.7,6.7,290205,13259,17161,4014808,99,37.4,6.4,249312,12481,6186,3109782
医療，福祉,381,42.9,5.5,299288,7852,23144,3937757,131,41.2,5.7,302734,9221,26882,4016536,250,43.8,5.4,297434,7134,21072,3894751
サービス業（他に分類されないもの）,444,46.4,9.8,278613,10186,41783,4165696,374,47.3,10,281523,9979,49136,4264922,70,41.9,8.5,264863,11288,9541,3711423
