表側１,表側２,表側３,回答企業数(件),当該商品の直近の販売価格(％),貴社の他商品とのバランス(％),競合店の価格(％),マーケット(市場価格)動向(％),販売先の意向(％),仕入先の意向(％),商品の品質・希少性(％),当該商品の賞味・消費期間(％),シーズンのイン・アウトの時期(％),一取引あたりの販売数量(％),年間の販売総量(％),在庫状況(％),顧客との取引年数(％),販売計画(目標売上・利幅等)(％),その他(％),無回答(％)
,,今回調査（全体）,760,16.7,12.1,42.1,35.7,33.9,16.3,19.5,5.8,5.5,15.9,7.9,9.2,7.2,3.8,4.9,5.4
,,前回調査,823,18.7,14.5,34.5,33.3,34.1,14.3,31.1,4.1,2.9,10.9,10.7,9,7.3,6,1.5,3
業種別,,食料品卸売業,237,18.1,3.8,38,38,30.8,16,22.8,14.3,6.3,14.8,7.6,9.3,8.4,5.1,3.4,5.5
業種別,,生鮮食品卸売業,126,19,4,37.3,37.3,31,11.9,26.2,15.1,7.1,11.9,7.1,7.1,5.6,3.2,4,8.7
業種別,,加工食品等卸売業,111,17.1,3.6,38.7,38.7,30.6,20.7,18.9,13.5,5.4,18,8.1,11.7,11.7,7.2,2.7,1.8
業種別,,衣料品関連卸売業,145,13.8,24.1,31,40,40.7,13.8,20.7,4.1,11,15.9,7.6,12.4,2.8,2.8,4.1,5.5
業種別,,住関連卸売業,83,15.7,12,61.4,37.3,39.8,20.5,15.7,1.2,3.6,19.3,15.7,7.2,3.6,1.2,2.4,3.6
業種別,,その他卸売業,288,16.7,12.2,45.1,30.9,30.9,16.3,17.4,1,2.4,16.3,6.3,7.3,9.7,3.8,6.9,5.9
従業者規模別,,1～5人,399,14.3,11.8,37.3,29.6,31.3,17,18.3,5.5,4.5,12.8,6.8,9.5,8,2.8,6.3,6.3
従業者規模別,,6～9人,101,15.8,11.9,40.6,39.6,41.6,11.9,24.8,7.9,5.9,28.7,10.9,9.9,7.9,4,2,3
従業者規模別,,10～49人,208,21.6,13,50,45.2,36.5,14.9,19.7,5.8,6.3,16.8,7.7,9.1,5.8,3.8,3.8,4.8
従業者規模別,,50人以上,36,19.4,13.9,61.1,38.9,33.3,30.6,16.7,5.6,8.3,11.1,11.1,2.8,5.6,11.1,5.6,0
売上高増減別(前年同期比),,増加,56,16.1,21.4,42.9,41.1,42.9,25,30.4,7.1,5.4,16.1,5.4,1.8,8.9,5.4,5.4,3.6
売上高増減別(前年同期比),,横ばい,108,20.4,14.8,50,37,35.2,15.7,17.6,5.6,6.5,12,4.6,10.2,7.4,6.5,2.8,5.6
売上高増減別(前年同期比),,減少,585,16.4,10.9,40.5,35.2,32.8,15.7,18.5,5.8,5.5,16.4,8.4,9.9,7.2,3.2,5.3,5.1
売上高増減別(３年前),,増加,136,19.9,12.5,49.3,38.2,46.3,18.4,24.3,4.4,8.1,16.9,5.1,8.8,6.6,6.6,6.6,5.9
売上高増減別(３年前),,横ばい,130,13.8,10,45.4,36.9,30.8,23.1,21.5,4.6,3.8,14.6,6.2,3.1,7.7,0.8,3.8,3.1
売上高増減別(３年前),,減少,443,17.2,12,40.2,35.7,31.8,13.3,17.4,6.3,5.6,17.2,9.3,11.7,7.4,3.4,5.2,5.9
