表側１,表側２,表側３,回答企業数(件),都心(％),副都心(％),城東(％),城南(％),城西(％),城北(％),多摩(％),無回答(％)
,,今回調査（全体）,760,20,11.2,32.5,9.3,9.9,5.3,10.7,1.2
,,前回調査,823,24.5,13.4,28.7,9.2,9,3.4,10.8,1
業種別,,食料品卸売業,237,18.1,10.1,31.2,13.1,9.7,4.6,12.2,0.8
業種別,,生鮮食品卸売業,126,18.3,8.7,38.1,15.9,7.9,3.2,7.9,0
業種別,,加工食品等卸売業,111,18,11.7,23.4,9.9,11.7,6.3,17.1,1.8
業種別,,衣料品関連卸売業,145,21.4,15.9,36.6,5.5,9,2.1,7.6,2.1
業種別,,住関連卸売業,83,30.1,9.6,26.5,6,7.2,8.4,10.8,1.2
業種別,,その他卸売業,288,18.1,9.7,33,9.4,11.1,6.6,11.1,1
