表側,構成比
各種商品小売業(%),8.2
織物・衣服・身の回り品小売業(%),6.6
飲食料品小売業(%),24.3
機械器具小売業(%),17.8
その他の小売業(%),19.7
無店舗小売業(%),23.4
年間商品販売額(億円),19249055
