表側１,表側２,表側３,回答企業数(件),大きな影響がある(%),ある程度の影響がある(%),現在のところ影響はないが、今後影響がある(%),影響はない(%),無回答(%)
,,"今回調査
（全体）",451,28.8,42.8,23.5,3.5,1.3
業種別,,総合商品小売業,146,44.5,39.0,12.3,3.4,0.7
業種別,,生鮮食品小売業,23,21.7,34.8,39.1,4.3,0.0
業種別,,食料品関連小売業,72,29.2,40.3,25.0,2.8,2.8
業種別,,衣料品関連小売業,38,26.3,47.4,26.3,0.0,0.0
業種別,,住関連小売業,25,20.0,48.0,28.0,4.0,0.0
業種別,,その他小売業,139,15.8,46.8,30.9,5.0,1.4
従業者規模別,,１～２人,36,16.7,38.9,36.1,8.3,0.0
従業者規模別,,３～５人,98,17.3,45.9,31.6,3.1,2.0
従業者規模別,,６～19人,181,27.1,45.9,21.5,4.4,1.1
従業者規模別,,20人以上,122,44.3,38.5,14.8,0.8,1.6
年間売上高増減別（3年前）,,増加（５％以上）,100,26.0,42.0,25.0,4.0,3.0
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,157,26.8,45.2,23.6,4.5,0.0
年間売上高増減別（3年前）,,やや減少（10％未満）,79,38.0,35.4,21.5,2.5,2.5
年間売上高増減別（3年前）,,減少（20％未満）,61,34.4,37.7,24.6,1.6,1.6
年間売上高増減別（3年前）,,大幅減少（20％以上）,42,26.2,52.4,19.0,2.4,0.0
売上高経常利益率別,,黒字（プラス）,291,29.2,43.6,22.7,2.7,1.7
売上高経常利益率別,,赤字（マイナス）,131,28.2,39.7,26.7,4.6,0.8
経常損益の変化別（3年前）,,増益,110,22.7,48.2,24.5,3.6,0.9
経常損益の変化別（3年前）,,横ばい,141,28.4,44.0,23.4,3.5,0.7
経常損益の変化別（3年前）,,減益,181,35.4,36.5,23.2,2.8,2.2
