移動起点,緯度,経度,移動終点,緯度,経度,回数
新宿区立漱石山房記念館,139.7255373,35.70392058,夏目漱石誕生の地,139.7203177,35.70569787,2
新宿末廣亭,139.7059679,35.69123885,天ぷら新宿つな八 総本店,139.703511,35.69083366,2
天ぷら新宿つな八 総本店,139.703511,35.69083366,中村屋サロン美術館,139.7021753,35.69177474,2
早稲田大学 坪内博士記念演劇博物館,139.7195184,35.70995361,木組み博物館,139.71726,35.70792813,2
大久保の犬御用屋敷跡,139.7163266,35.69874968,東宝湯,139.7120619,35.69835324,2
大久保の犬御用屋敷跡,139.7163266,35.69874968,有島武郎旧居跡,139.7229195,35.70236978,2
新宿歴史博物館,139.7254086,35.68994921,帝国データバンク史料館,139.7291797,35.69091208,2
大久保の犬御用屋敷跡,139.7163266,35.69874968,厳嶋神社,139.7132742,35.69756036,2
夏目漱石誕生の地,139.7203177,35.70569787,鶴巻湯,139.7227532,35.70778003,2
夏目漱石誕生の地,139.7203177,35.70569787,木組み博物館,139.71726,35.70792813,2
宮城道雄記念館,139.736647,35.69964274,鰻坂,139.7357672,35.69680233,2
ゆ〜ザ中井,139.689011,35.71609071,松の湯,139.6839416,35.71083348,2
夏目漱石誕生の地,139.7203177,35.70569787,新宿区立漱石山房記念館,139.7255373,35.70392058,2
天ぷら船橋屋 新宿本店,139.7033072,35.69102536,馬水槽,139.701156,35.6921712,2
合羽坂,139.7244591,35.69280729,西迎寺,139.7208917,35.69128677,2
夏目漱石誕生の地,139.7203177,35.70569787,小笠原伯爵邸,139.7175229,35.69833581,2
夏目漱石誕生の地,139.7203177,35.70569787,大久保の犬御用屋敷跡,139.7163266,35.69874968,2
万年湯,139.7035056,35.70084944,金沢浴場,139.7103077,35.7000653,2
万年湯,139.7035056,35.70084944,皆中稲荷神社,139.699434,35.70103677,2
落合秋艸堂跡（會津八一旧居跡）,139.6914464,35.71862556,ゆ〜ザ中井,139.689011,35.71609071,1
美術愛住館,139.7187352,35.68833279,西迎寺,139.7208917,35.69128677,1
西向天神社,139.7112572,35.69627083,西迎寺,139.7208917,35.69128677,1
大久保の犬御用屋敷跡,139.7163266,35.69874968,弁天湯,139.7148782,35.69540823,1
美術愛住館,139.7187352,35.68833279,水道碑記,139.7151035,35.68747445,1
美術愛住館,139.7187352,35.68833279,東福院,139.7236276,35.68604969,1
西念寺,139.7254407,35.68463797,佐藤美術館,139.7148514,35.68149201,1
花園神社,139.7053349,35.69353487,馬水槽,139.701156,35.6921712,1
美術愛住館,139.7187352,35.68833279,釣り文化資料館,139.7195023,35.6908293,1
美術愛住館,139.7187352,35.68833279,斎藤茂吉終焉の地,139.7161067,35.68676425,1
坪内逍遙旧居跡・文芸協会演劇研究所跡,139.7142184,35.69702451,小泉八雲終焉の地,139.7052866,35.69911561,1
坪内逍遙旧居跡・文芸協会演劇研究所跡,139.7142184,35.69702451,大久保の犬御用屋敷跡,139.7163266,35.69874968,1
夏目漱石誕生の地,139.7203177,35.70569787,夏目漱石終焉の地,139.7252691,35.70383346,1
統計資料館,139.7152859,35.70012194,厳嶋神社,139.7132742,35.69756036,1
坪内逍遙旧居跡・文芸協会演劇研究所跡,139.7142184,35.69702451,東宝湯,139.7120619,35.69835324,1
草間彌生美術館,139.7265244,35.70335428,柳湯,139.7265351,35.69899799,1
夏目漱石終焉の地,139.7252691,35.70383346,松井須磨子の墓,139.7271574,35.70304499,1
坪内逍遙旧居跡・文芸協会演劇研究所跡,139.7142184,35.69702451,花園神社,139.7053349,35.69353487,1
塩湯,139.7273666,35.68736553,東福院,139.7236276,35.68604969,1
花園神社,139.7053349,35.69353487,稲荷鬼王神社,139.7053134,35.69775205,1
落合秋艸堂跡（會津八一旧居跡）,139.6914464,35.71862556,薬王院,139.6972239,35.71814647,1
塩湯,139.7273666,35.68736553,帝国データバンク史料館,139.7291797,35.69091208,1
薬王院,139.6972239,35.71814647,ゆ〜ザ中井,139.689011,35.71609071,1
塩湯,139.7273666,35.68736553,西念寺,139.7254407,35.68463797,1
薬王院,139.6972239,35.71814647,柏湯,139.6933293,35.70671282,1
草間彌生美術館,139.7265244,35.70335428,鰻坂,139.7357672,35.69680233,1
花園神社,139.7053349,35.69353487,島崎藤村旧居跡,139.7061718,35.69792631,1
西向天神社,139.7112572,35.69627083,厳嶋神社,139.7132742,35.69756036,1
花園神社,139.7053349,35.69353487,太宗寺,139.7093475,35.68985772,1
西向天神社,139.7112572,35.69627083,大久保の犬御用屋敷跡,139.7163266,35.69874968,1
西條八十旧居跡,139.6941394,35.6983968,成子天神社,139.6923852,35.69616627,1
西向天神社,139.7112572,35.69627083,新宿末廣亭,139.7059679,35.69123885,1
花園神社,139.7053349,35.69353487,小泉八雲旧居跡,139.7172332,35.69138698,1
早稲田大学大隈記念講堂,139.7215998,35.7088995,玄国寺,139.7070301,35.70913907,1
合羽坂,139.7244591,35.69280729,永井荷風旧居跡,139.7169274,35.69533417,1
二葉亭四迷旧居跡,139.7282034,35.68452904,服部半蔵の墓,139.7252905,35.6847774,1
鈴木三重吉終焉の地（「赤い鳥」社跡）,139.7043371,35.69547793,氷おばけ,139.7003299,35.69528624,1
世界湯,139.6996003,35.71467517,玄国寺,139.7070301,35.70913907,1
三遊亭円朝旧居跡,139.7132528,35.68893841,西向天神社,139.7112572,35.69627083,1
鏑木清方旧居跡,139.7313094,35.70328023,竹の湯,139.7345924,35.70659956,1
雷電稲荷神社,139.7047985,35.68958759,三遊亭円朝旧居跡,139.7132528,35.68893841,1
雷電稲荷神社,139.7047985,35.68958759,新宿末廣亭,139.7059679,35.69123885,1
万年湯,139.7035056,35.70084944,太宗寺,139.7093475,35.68985772,1
スイーツ＆デリカ Ｂｏｎｎａ／ボンナ 新宿中村屋,139.7022557,35.69169196,花園神社,139.7053349,35.69353487,1
雷電稲荷神社,139.7047985,35.68958759,馬水槽,139.701156,35.6921712,1
スイーツ＆デリカ Ｂｏｎｎａ／ボンナ 新宿中村屋,139.7022557,35.69169196,早稲田大学 坪内博士記念演劇博物館,139.7195184,35.70995361,1
スイーツ＆デリカ Ｂｏｎｎａ／ボンナ 新宿中村屋,139.7022557,35.69169196,新宿末廣亭,139.7059679,35.69123885,1
ゆ〜ザ中井,139.689011,35.71609071,新宿区立林芙美子記念館,139.6841186,35.71576841,1
馬水槽,139.701156,35.6921712,稲荷鬼王神社,139.7053134,35.69775205,1
馬水槽,139.701156,35.6921712,花園神社,139.7053349,35.69353487,1
高麗博物館,139.7036719,35.69847522,万年湯,139.7035056,35.70084944,1
め乃惣,139.7398603,35.70181654,第三玉乃湯,139.7384763,35.70285332,1
高麗博物館,139.7036719,35.69847522,氷おばけ,139.7003299,35.69528624,1
高麗博物館,139.7036719,35.69847522,皆中稲荷神社,139.699434,35.70103677,1
おとめ山公園,139.7016066,35.71768045,世界湯,139.6996003,35.71467517,1
鰻坂,139.7357672,35.69680233,合羽坂,139.7244591,35.69280729,1
鰻坂,139.7357672,35.69680233,地蔵坂,139.7387123,35.70128507,1
elm green coffee,139.7346354,35.70484844,毘沙門天 善國寺,139.7394741,35.70152467,1
elm green coffee,139.7346354,35.70484844,宮城道雄記念館,139.736647,35.69964274,1
鰻坂,139.7357672,35.69680233,市谷亀岡八幡宮,139.7337663,35.69269837,1
鶴巻湯,139.7227532,35.70778003,夏目漱石誕生の地,139.7203177,35.70569787,1
SOMPO美術館,139.6965426,35.69251103,西向天神社,139.7112572,35.69627083,1
鶴巻湯,139.7227532,35.70778003,有島武郎旧居跡,139.7229195,35.70236978,1
中村屋サロン美術館,139.7021753,35.69177474,小泉八雲旧居跡,139.7172332,35.69138698,1
亮朝院本堂,139.7136712,35.71200517,金泉湯,139.7123516,35.7099449,1
西條八十旧居跡,139.6941394,35.6983968,金泉湯,139.7123516,35.7099449,1
金泉湯,139.7123516,35.7099449,諏訪神社,139.7076738,35.70904324,1
合羽坂,139.7244591,35.69280729,新宿歴史博物館,139.7254086,35.68994921,1
合羽坂,139.7244591,35.69280729,帝国データバンク史料館,139.7291797,35.69091208,1
西迎寺,139.7208917,35.69128677,小笠原伯爵邸,139.7175229,35.69833581,1
合羽坂,139.7244591,35.69280729,市谷の杜 本と活字館,139.7317976,35.69609657,1
諏訪神社,139.7076738,35.70904324,木組み博物館,139.71726,35.70792813,1
諏訪神社,139.7076738,35.70904324,金沢浴場,139.7103077,35.7000653,1
諏訪神社,139.7076738,35.70904324,金泉湯,139.7123516,35.7099449,1
経王寺,139.7253656,35.69925066,泉鏡花旧居跡,139.7297591,35.70202128,1
赤城神社,139.7360301,35.70481794,毘沙門天 善國寺,139.7394741,35.70152467,1
厳嶋神社,139.7132742,35.69756036,夏目漱石終焉の地,139.7252691,35.70383346,1
赤城神社,139.7360301,35.70481794,第三玉乃湯,139.7384763,35.70285332,1
追分だんご本舗,139.7053993,35.69039797,スイーツ＆デリカ Ｂｏｎｎａ／ボンナ 新宿中村屋,139.7022557,35.69169196,1
追分だんご本舗,139.7053993,35.69039797,天ぷら新宿つな八 総本店,139.703511,35.69083366,1
追分だんご本舗,139.7053993,35.69039797,太宗寺,139.7093475,35.68985772,1
追分だんご本舗,139.7053993,35.69039797,新宿御苑,139.7065312,35.68895148,1
内村鑑三終焉の地（今井館聖書講堂跡）,139.6915269,35.7018601,松の湯,139.6839416,35.71083348,1
追分だんご本舗,139.7053993,35.69039797,毘沙門天 善國寺,139.7394741,35.70152467,1
追分だんご本舗,139.7053993,35.69039797,水道碑記,139.7151035,35.68747445,1
追分だんご本舗,139.7053993,35.69039797,氷おばけ,139.7003299,35.69528624,1
内村鑑三終焉の地（今井館聖書講堂跡）,139.6915269,35.7018601,万年湯,139.7035056,35.70084944,1
俳句文学館,139.695459,35.70468726,志賀直哉旧宅跡,139.7036612,35.71038919,1
金沢浴場,139.7103077,35.7000653,万年湯,139.7035056,35.70084944,1
金沢浴場,139.7103077,35.7000653,島崎藤村旧居跡,139.7061718,35.69792631,1
俳句文学館,139.695459,35.70468726,内村鑑三終焉の地（今井館聖書講堂跡）,139.6915269,35.7018601,1
俳句文学館,139.695459,35.70468726,中村屋サロン美術館,139.7021753,35.69177474,1
佐藤美術館,139.7148514,35.68149201,文学座アトリエ,139.7191429,35.68351816,1
金泉湯,139.7123516,35.7099449,志賀直哉旧宅跡,139.7036612,35.71038919,1
大久保の犬御用屋敷跡,139.7163266,35.69874968,統計資料館,139.7152859,35.70012194,1
天ぷら船橋屋 新宿本店,139.7033072,35.69102536,皆中稲荷神社,139.699434,35.70103677,1
大星湯,139.7173727,35.69448462,合羽坂,139.7244591,35.69280729,1
泉鏡花旧居跡,139.7297591,35.70202128,松井須磨子の墓,139.7271574,35.70304499,1
柳湯,139.7265351,35.69899799,合羽坂,139.7244591,35.69280729,1
斎藤茂吉終焉の地,139.7161067,35.68676425,美術愛住館,139.7187352,35.68833279,1
斎藤茂吉終焉の地,139.7161067,35.68676425,禿坂,139.713757,35.69014963,1
斎藤茂吉終焉の地,139.7161067,35.68676425,消防博物館,139.7199476,35.68816722,1
斎藤茂吉終焉の地,139.7161067,35.68676425,佐藤美術館,139.7148514,35.68149201,1
毘沙門天 善國寺,139.7394741,35.70152467,泉鏡花旧居跡,139.7297591,35.70202128,1
毘沙門天 善國寺,139.7394741,35.70152467,熱海湯,139.7405523,35.70055757,1
毘沙門天 善國寺,139.7394741,35.70152467,第三玉乃湯,139.7384763,35.70285332,1
毘沙門天 善國寺,139.7394741,35.70152467,赤城神社,139.7360301,35.70481794,1
毘沙門天 善國寺,139.7394741,35.70152467,鏑木清方旧居跡,139.7313094,35.70328023,1
文学座アトリエ,139.7191429,35.68351816,斎藤茂吉終焉の地,139.7161067,35.68676425,1
水道碑記,139.7151035,35.68747445,天ぷら船橋屋 新宿本店,139.7033072,35.69102536,1
水道碑記,139.7151035,35.68747445,太宗寺,139.7093475,35.68985772,1
文学座アトリエ,139.7191429,35.68351816,二葉亭四迷旧居跡,139.7282034,35.68452904,1
水道碑記,139.7151035,35.68747445,新宿御苑,139.7065312,35.68895148,1
水道碑記,139.7151035,35.68747445,消防博物館,139.7199476,35.68816722,1
氷おばけ,139.7003299,35.69528624,SOMPO美術館,139.6965426,35.69251103,1
氷おばけ,139.7003299,35.69528624,稲荷鬼王神社,139.7053134,35.69775205,1
氷おばけ,139.7003299,35.69528624,西向天神社,139.7112572,35.69627083,1
氷おばけ,139.7003299,35.69528624,鈴木三重吉終焉の地（「赤い鳥」社跡）,139.7043371,35.69547793,1
永井荷風旧居跡,139.7169274,35.69533417,厳嶋神社,139.7132742,35.69756036,1
志賀直哉旧宅跡,139.7036612,35.71038919,西條八十旧居跡,139.6941394,35.6983968,1
弁天湯,139.7148782,35.69540823,禿坂,139.713757,35.69014963,1
弁天湯,139.7148782,35.69540823,法善寺,139.7125554,35.69661064,1
弁天湯,139.7148782,35.69540823,大星湯,139.7173727,35.69448462,1
永福寺,139.7125018,35.69811799,法善寺,139.7125554,35.69661064,1
永福寺,139.7125018,35.69811799,統計資料館,139.7152859,35.70012194,1
柏湯,139.6933293,35.70671282,皆中稲荷神社,139.699434,35.70103677,1
新宿区立佐伯祐三アトリエ記念館,139.6936458,35.72083804,薬王院,139.6972239,35.71814647,1
新宿区立林芙美子記念館,139.6841186,35.71576841,山文,139.681769,35.72189635,1
新宿末廣亭,139.7059679,35.69123885,諏訪神社,139.7076738,35.70904324,1
SOMPO美術館,139.6965426,35.69251103,中村屋サロン美術館,139.7021753,35.69177474,1
早稲田大学 坪内博士記念演劇博物館,139.7195184,35.70995361,鶴巻湯,139.7227532,35.70778003,1
早稲田大学 坪内博士記念演劇博物館,139.7195184,35.70995361,夏目漱石誕生の地,139.7203177,35.70569787,1
木組み博物館,139.71726,35.70792813,早稲田大学大隈記念講堂,139.7215998,35.7088995,1
木組み博物館,139.71726,35.70792813,草間彌生美術館,139.7265244,35.70335428,1
早稲田大学 坪内博士記念演劇博物館,139.7195184,35.70995361,亮朝院本堂,139.7136712,35.71200517,1
新宿歴史博物館,139.7254086,35.68994921,東福院,139.7236276,35.68604969,1
東京おもちゃ美術館,139.7180754,35.68954838,斎藤茂吉終焉の地,139.7161067,35.68676425,1
東京おもちゃ美術館,139.7180754,35.68954838,新宿歴史博物館,139.7254086,35.68994921,1
東京おもちゃ美術館,139.7180754,35.68954838,消防博物館,139.7199476,35.68816722,1
東京おもちゃ美術館,139.7180754,35.68954838,花園神社,139.7053349,35.69353487,1
新宿末廣亭,139.7059679,35.69123885,鈴木三重吉終焉の地（「赤い鳥」社跡）,139.7043371,35.69547793,1
東宝湯,139.7120619,35.69835324,大久保の犬御用屋敷跡,139.7163266,35.69874968,1
松井須磨子の墓,139.7271574,35.70304499,草間彌生美術館,139.7265244,35.70335428,1
東宝湯,139.7120619,35.69835324,島崎藤村旧居跡,139.7061718,35.69792631,1
新宿末廣亭,139.7059679,35.69123885,新宿御苑,139.7065312,35.68895148,1
新宿末廣亭,139.7059679,35.69123885,弁天湯,139.7148782,35.69540823,1
東福院,139.7236276,35.68604969,合羽坂,139.7244591,35.69280729,1
新宿末廣亭,139.7059679,35.69123885,太宗寺,139.7093475,35.68985772,1
新宿御苑 楽羽亭,139.7071427,35.68587105,雷電稲荷神社,139.7047985,35.68958759,1
松の湯,139.6839416,35.71083348,ゆ〜ザ中井,139.689011,35.71609071,1
新宿御苑 楽羽亭,139.7071427,35.68587105,統計資料館,139.7152859,35.70012194,1
新宿御苑,139.7065312,35.68895148,西向天神社,139.7112572,35.69627083,1
新宿御苑,139.7065312,35.68895148,水道碑記,139.7151035,35.68747445,1
新宿御苑,139.7065312,35.68895148,新宿御苑 楽羽亭,139.7071427,35.68587105,1
新宿区立漱石山房記念館,139.7255373,35.70392058,有島武郎旧居跡,139.7229195,35.70236978,1
弁天湯,139.7148782,35.69540823,大久保の犬御用屋敷跡,139.7163266,35.69874968,1
泉鏡花旧居跡,139.7297591,35.70202128,柳湯,139.7265351,35.69899799,1
経王寺,139.7253656,35.69925066,有島武郎旧居跡,139.7229195,35.70236978,1
弁天湯,139.7148782,35.69540823,厳嶋神社,139.7132742,35.69756036,1
小泉八雲終焉の地,139.7052866,35.69911561,鈴木三重吉終焉の地（「赤い鳥」社跡）,139.7043371,35.69547793,1
小泉八雲終焉の地,139.7052866,35.69911561,皆中稲荷神社,139.699434,35.70103677,1
矢来能楽堂,139.7325808,35.70287075,鰻坂,139.7357672,35.69680233,1
小泉八雲終焉の地,139.7052866,35.69911561,太宗寺,139.7093475,35.68985772,1
小泉八雲旧居跡,139.7172332,35.69138698,草間彌生美術館,139.7265244,35.70335428,1
小泉八雲旧居跡,139.7172332,35.69138698,美術愛住館,139.7187352,35.68833279,1
小泉八雲旧居跡,139.7172332,35.69138698,柳湯,139.7265351,35.69899799,1
禿坂,139.713757,35.69014963,追分だんご本舗,139.7053993,35.69039797,1
宮城道雄記念館,139.736647,35.69964274,第三玉乃湯,139.7384763,35.70285332,1
太宗寺,139.7093475,35.68985772,雷電稲荷神社,139.7047985,35.68958759,1
稲荷鬼王神社,139.7053134,35.69775205,早稲田大学大隈記念講堂,139.7215998,35.7088995,1
稲荷鬼王神社,139.7053134,35.69775205,花園神社,139.7053349,35.69353487,1
稲荷鬼王神社,139.7053134,35.69775205,高麗博物館,139.7036719,35.69847522,1
竹の湯,139.7345924,35.70659956,elm green coffee,139.7346354,35.70484844,1
竹の湯,139.7345924,35.70659956,塩湯,139.7273666,35.68736553,1
竹の湯,139.7345924,35.70659956,矢来能楽堂,139.7325808,35.70287075,1
天ぷら船橋屋 新宿本店,139.7033072,35.69102536,花園神社,139.7053349,35.69353487,1
服部半蔵の墓,139.7252905,35.6847774,日本オリンピックミュージアム,139.7151625,35.67485111,1
天ぷら船橋屋 新宿本店,139.7033072,35.69102536,斎藤茂吉終焉の地,139.7161067,35.68676425,1
天ぷら新宿つな八 総本店,139.703511,35.69083366,雷電稲荷神社,139.7047985,35.68958759,1
天ぷら新宿つな八 総本店,139.703511,35.69083366,追分だんご本舗,139.7053993,35.69039797,1
第三玉乃湯,139.7384763,35.70285332,島村抱月終焉の地（芸術倶楽部跡）,139.7357297,35.70244819,1
第三玉乃湯,139.7384763,35.70285332,毘沙門天 善國寺,139.7394741,35.70152467,1
天ぷら新宿つな八 総本店,139.703511,35.69083366,文学座アトリエ,139.7191429,35.68351816,1
第三玉乃湯,139.7384763,35.70285332,赤城神社,139.7360301,35.70481794,1
第三玉乃湯,139.7384763,35.70285332,鶴巻湯,139.7227532,35.70778003,1
経王寺,139.7253656,35.69925066,大久保の犬御用屋敷跡,139.7163266,35.69874968,1
矢来能楽堂,139.7325808,35.70287075,夏目漱石誕生の地,139.7203177,35.70569787,1
矢来能楽堂,139.7325808,35.70287075,地蔵坂,139.7387123,35.70128507,1
皆中稲荷神社,139.699434,35.70103677,馬水槽,139.701156,35.6921712,1
島村抱月終焉の地（芸術倶楽部跡）,139.7357297,35.70244819,毘沙門天 善國寺,139.7394741,35.70152467,1
平和祈念展示資料館,139.6925998,35.69140876,馬水槽,139.701156,35.6921712,1
帝国データバンク史料館,139.7291797,35.69091208,西念寺,139.7254407,35.68463797,1
法善寺,139.7125554,35.69661064,坪内逍遙旧居跡・文芸協会演劇研究所跡,139.7142184,35.69702451,1
法善寺,139.7125554,35.69661064,大久保の犬御用屋敷跡,139.7163266,35.69874968,1
帝国データバンク史料館,139.7291797,35.69091208,塩湯,139.7273666,35.68736553,1
市谷亀岡八幡宮,139.7337663,35.69269837,鰻坂,139.7357672,35.69680233,1
洋菓子店シュマーレ,139.6739799,35.7193137,新宿区立林芙美子記念館,139.6841186,35.71576841,1
市谷亀岡八幡宮,139.7337663,35.69269837,め乃惣,139.7398603,35.70181654,1
市谷の杜 本と活字館,139.7317976,35.69609657,尾崎紅葉旧居跡,139.734925,35.70131557,1
消防博物館,139.7199476,35.68816722,水道碑記,139.7151035,35.68747445,1
島村抱月終焉の地（芸術倶楽部跡）,139.7357297,35.70244819,第三玉乃湯,139.7384763,35.70285332,1
消防博物館,139.7199476,35.68816722,釣り文化資料館,139.7195023,35.6908293,1
山文,139.681769,35.72189635,三の輪湯,139.682005,35.7137213,1
皆中稲荷神社,139.699434,35.70103677,西條八十旧居跡,139.6941394,35.6983968,1
熱海湯,139.7405523,35.70055757,宮城道雄記念館,139.736647,35.69964274,1
熱海湯,139.7405523,35.70055757,島村抱月終焉の地（芸術倶楽部跡）,139.7357297,35.70244819,1
山文,139.681769,35.72189635,ゆ〜ザ中井,139.689011,35.71609071,1
玄国寺,139.7070301,35.70913907,木組み博物館,139.71726,35.70792813,1
田村虎蔵旧居跡,139.7400105,35.7041471,地蔵坂,139.7387123,35.70128507,1
尾崎紅葉旧居跡,139.734925,35.70131557,泉鏡花旧居跡,139.7297591,35.70202128,1
尾崎紅葉旧居跡,139.734925,35.70131557,柳湯,139.7265351,35.69899799,1
小笠原伯爵邸,139.7175229,35.69833581,経王寺,139.7253656,35.69925066,1
皆中稲荷神社,139.699434,35.70103677,俳句文学館,139.695459,35.70468726,1
皆中稲荷神社,139.699434,35.70103677,小泉八雲終焉の地,139.7052866,35.69911561,1
小笠原伯爵邸,139.7175229,35.69833581,永井荷風旧居跡,139.7169274,35.69533417,1
小笠原伯爵邸,139.7175229,35.69833581,新宿末廣亭,139.7059679,35.69123885,1
鶴巻湯,139.7227532,35.70778003,泉鏡花旧居跡,139.7297591,35.70202128,1
