学歴,勤続年数（年）,年齢（歳）,モデル所定時間内賃金／記入企業数（社）,モデル所定時間内賃金／金額Ａ（千円）,自己都合退職／退職金支給額／記入企業数（社）,自己都合退職／退職金支給額／金額Ｂ（千円）,自己都合退職／支給率（月数）／Ｂ/Ａ（月数）,会社都合退職／退職金支給額／記入企業数（社）,会社都合退職／退職金支給額／金額Ｃ（千円）,会社都合退職／支給率（月数）／Ｃ/Ａ（月数）
高校卒,1,19,84,182,23,62,0.3,38,100,0.5
高校卒,3,21,74,192,96,187,1,95,281,1.5
高校卒,5,23,73,202,106,358,1.8,101,507,2.5
高校卒,10,28,76,231,110,895,3.9,104,1199,5.2
高校卒,15,33,70,250,103,1699,6.8,98,2219,8.9
高校卒,20,38,71,275,103,2744,10,98,3397,12.4
高校卒,25,43,67,306,101,3994,13.1,95,4797,15.7
高校卒,30,48,68,330,101,5495,16.7,95,6328,19.2
高校卒,35,53,66,360,97,6966,19.4,92,7967,22.1
高校卒,37,55,65,364,97,7693,21.1,90,8770,24.1
高校卒,定年,定年,65,375,-,-,-,88,9996,26.7
高専・短大卒,1,21,68,196,18,61,0.3,28,106,0.5
高専・短大卒,3,23,64,206,82,201,1,79,294,1.4
高専・短大卒,5,25,63,218,89,381,1.7,84,532,2.4
高専・短大卒,10,30,60,245,87,1008,4.1,82,1342,5.5
高専・短大卒,15,35,61,275,87,1875,6.8,82,2383,8.7
高専・短大卒,20,40,59,302,85,3007,10,80,3610,12
高専・短大卒,25,45,57,335,83,4317,12.9,77,5109,15.3
高専・短大卒,30,50,57,369,83,5892,16,77,6765,18.3
高専・短大卒,35,55,57,394,82,7578,19.2,77,8562,21.7
高専・短大卒,定年,定年,56,402,-,-,-,68,10309,25.6
大学卒,1,23,93,212,23,88,0.4,37,132,0.6
大学卒,3,25,85,225,105,224,1,103,334,1.5
大学卒,5,27,84,264,111,409,1.5,107,594,2.3
大学卒,10,32,84,266,113,1061,4,109,1452,5.5
大学卒,15,37,81,298,108,1995,6.7,104,2595,8.7
大学卒,20,42,81,332,110,3225,9.7,106,3950,11.9
大学卒,25,47,78,366,107,4682,12.8,102,5585,15.3
大学卒,30,52,76,401,105,6303,15.7,100,7312,18.2
大学卒,33,55,75,417,104,7533,18.1,98,8597,20.6
大学卒,定年,定年,70,434,-,-,-,92,10685,24.6
