職種,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和4年年間給与支払額（円）
営業【学歴計】,～17歳,-,-,-,-,-,-,-,-
営業【学歴計】,18～19歳,-,-,-,-,1,x,x,x
営業【学歴計】,20～21歳,6,0.5,231780,2501000,11,0.5,204623,2960800
営業【学歴計】,22～24歳,139,1,266327,3249582,116,1.2,249040,3137252
営業【学歴計】,25～29歳,289,3.1,298379,4731686,153,3,289972,4069020
営業【学歴計】,30～34歳,269,5.5,357405,5408509,82,5,325302,4331633
営業【学歴計】,35～39歳,260,8,361880,6256034,67,8.1,363900,5506176
営業【学歴計】,40～44歳,303,12.2,433949,6972104,63,9.4,426037,8262768
営業【学歴計】,45～49歳,358,15.2,469141,6985668,55,11.4,395902,6198272
営業【学歴計】,50～54歳,364,17.6,509020,7772556,38,15.5,405712,6169013
営業【学歴計】,55～59歳,276,16.9,566625,8588856,16,14.7,393434,7871015
営業【学歴計】,60歳以上,165,17.2,436574,5838899,5,21.2,307559,5212320
販売【学歴計】,～17歳,-,-,-,-,1,x,x,x
販売【学歴計】,18～19歳,5,1,211000,2495000,6,0.8,203800,-
販売【学歴計】,20～21歳,10,1.1,205449,2190900,13,0.8,207838,2963700
販売【学歴計】,22～24歳,7,0.9,224567,2976375,6,2.5,209121,3004125
販売【学歴計】,25～29歳,18,2,246466,3751200,21,3.6,223008,3014007
販売【学歴計】,30～34歳,16,5.9,263329,3827537,24,6,270081,3636145
販売【学歴計】,35～39歳,24,7.9,320096,4454889,15,6.9,269643,3272111
販売【学歴計】,40～44歳,40,8,317791,4658563,28,10,277613,3960289
販売【学歴計】,45～49歳,29,17,425127,5913431,21,12.1,326798,4352309
販売【学歴計】,50～54歳,19,16.4,372453,5073309,8,10.9,238756,3519257
販売【学歴計】,55～59歳,12,26.3,485159,7297950,7,11.7,251529,3330154
販売【学歴計】,60歳以上,6,34.2,347142,4151200,17,15.7,229008,2234224
一般事務【学歴計】,～17歳,-,-,-,-,-,-,-,-
一般事務【学歴計】,18～19歳,-,-,-,-,6,0.3,192333,-
一般事務【学歴計】,20～21歳,2,x,x,x,14,1.2,208620,2670233
一般事務【学歴計】,22～24歳,24,2.5,220833,2618761,58,2.1,218007,3231517
一般事務【学歴計】,25～29歳,50,3.1,256811,4099073,142,3.8,237734,3524218
一般事務【学歴計】,30～34歳,89,6.1,320557,5087977,146,5.5,270767,4104006
一般事務【学歴計】,35～39歳,83,9.9,360224,5724728,128,8.5,295539,4333598
一般事務【学歴計】,40～44歳,111,9.3,422399,6504918,195,9.1,322975,4599473
一般事務【学歴計】,45～49歳,133,13.1,441753,6678698,224,13.8,323031,4897943
一般事務【学歴計】,50～54歳,137,20.4,584145,8220962,174,13.4,353917,5457114
一般事務【学歴計】,55～59歳,144,20.5,553916,8032576,125,18.6,368798,5636247
一般事務【学歴計】,60歳以上,103,18.6,410388,6684448,52,22.1,320753,5140952
会計事務【学歴計】,～17歳,-,-,-,-,-,-,-,-
会計事務【学歴計】,18～19歳,-,-,-,-,-,-,-,-
会計事務【学歴計】,20～21歳,-,-,-,-,-,-,-,-
会計事務【学歴計】,22～24歳,5,2,243212,3900750,7,2.1,221329,4468300
会計事務【学歴計】,25～29歳,16,3.4,249911,3636757,20,4.5,247043,3620351
会計事務【学歴計】,30～34歳,20,8.5,390253,5876997,24,4.9,259746,3457391
会計事務【学歴計】,35～39歳,18,7,313598,4567679,26,6.5,270680,4155171
会計事務【学歴計】,40～44歳,22,11.5,492282,6666944,62,7.6,301486,4288562
会計事務【学歴計】,45～49歳,55,9.9,583165,8157992,61,12.3,353121,4678597
会計事務【学歴計】,50～54歳,42,15.6,552737,8166985,80,14.7,370578,5488940
会計事務【学歴計】,55～59歳,55,20.7,542816,8191023,41,17.2,441440,6344252
会計事務【学歴計】,60歳以上,35,16.9,442572,5989634,29,16.3,340518,5007414
営業・販売事務【学歴計】,～17歳,-,-,-,-,-,-,-,-
営業・販売事務【学歴計】,18～19歳,-,-,-,-,3,x,x,x
営業・販売事務【学歴計】,20～21歳,-,-,-,-,2,x,x,x
営業・販売事務【学歴計】,22～24歳,2,x,x,x,32,1.5,212386,2867924
営業・販売事務【学歴計】,25～29歳,10,2.6,232811,3021829,73,2.8,235075,3448589
営業・販売事務【学歴計】,30～34歳,41,4.8,273744,4511131,94,5.6,262536,3793171
営業・販売事務【学歴計】,35～39歳,15,11.3,294811,4405933,75,7.3,259149,3947606
営業・販売事務【学歴計】,40～44歳,40,9.2,388113,5871455,92,10.8,309256,4481885
営業・販売事務【学歴計】,45～49歳,59,12.7,429057,6777744,91,12.3,314086,4838166
営業・販売事務【学歴計】,50～54歳,77,19,419717,6605118,89,13.8,312011,4914879
営業・販売事務【学歴計】,55～59歳,49,18.5,488684,7545802,53,18.3,361032,5335335
営業・販売事務【学歴計】,60歳以上,24,17.6,432701,6093279,15,22.4,234934,3540397
機械技術【学歴計】,～17歳,-,-,-,-,-,-,-,-
機械技術【学歴計】,18～19歳,4,x,x,x,-,-,-,-
機械技術【学歴計】,20～21歳,5,1.6,190400,2865380,-,-,-,-
機械技術【学歴計】,22～24歳,20,3.8,216375,3764444,-,-,-,-
機械技術【学歴計】,25～29歳,26,4.4,275566,4755499,-,-,-,-
機械技術【学歴計】,30～34歳,42,6.7,270201,4679253,1,x,x,x
機械技術【学歴計】,35～39歳,38,9.7,313447,5454533,2,x,x,x
機械技術【学歴計】,40～44歳,40,14.6,366253,6485287,-,-,-,-
機械技術【学歴計】,45～49歳,43,14.7,373790,5585900,-,-,-,-
機械技術【学歴計】,50～54歳,45,16.6,404788,6280214,1,x,x,x
機械技術【学歴計】,55～59歳,36,18.8,382718,6366775,-,-,-,-
機械技術【学歴計】,60歳以上,25,15.4,400686,6625021,-,-,-,-
電気技術【学歴計】,～17歳,-,-,-,-,-,-,-,-
電気技術【学歴計】,18～19歳,21,0.8,197448,3047800,-,-,-,-
電気技術【学歴計】,20～21歳,27,1.9,204379,3423175,-,-,-,-
電気技術【学歴計】,22～24歳,30,3.3,218877,3851424,-,-,-,-
電気技術【学歴計】,25～29歳,57,5.5,244834,4516976,3,x,x,x
電気技術【学歴計】,30～34歳,44,8.2,294466,5067717,-,-,-,-
電気技術【学歴計】,35～39歳,43,13.6,311057,6062377,-,-,-,-
電気技術【学歴計】,40～44歳,36,15.9,368671,6697536,-,-,-,-
電気技術【学歴計】,45～49歳,53,20.2,395606,6779920,4,x,x,x
電気技術【学歴計】,50～54歳,60,22.7,446253,7305153,8,10,265974,3511400
電気技術【学歴計】,55～59歳,30,18.8,409258,6287997,1,x,x,x
電気技術【学歴計】,60歳以上,26,22.1,360050,7001261,-,-,-,-
情報処理技術【学歴計】,～17歳,-,-,-,-,-,-,-,-
情報処理技術【学歴計】,18～19歳,-,-,-,-,-,-,-,-
情報処理技術【学歴計】,20～21歳,4,x,x,x,1,x,x,x
情報処理技術【学歴計】,22～24歳,44,1,221683,3022027,32,1.4,231770,2980666
情報処理技術【学歴計】,25～29歳,205,3.6,282021,4380721,94,3.6,265422,3920145
情報処理技術【学歴計】,30～34歳,143,6.8,364634,5183499,37,4.6,284114,4581721
情報処理技術【学歴計】,35～39歳,168,9.7,387442,6080556,30,9.3,328564,4862810
情報処理技術【学歴計】,40～44歳,215,13.5,392628,6004208,25,7.5,329783,4623207
情報処理技術【学歴計】,45～49歳,196,15.1,416375,6171750,16,9.8,343976,5521050
情報処理技術【学歴計】,50～54歳,123,19,451541,6603981,18,7.6,310310,4968355
情報処理技術【学歴計】,55～59歳,86,20.3,481842,7431766,2,x,x,x
情報処理技術【学歴計】,60歳以上,18,12.6,417679,5596533,3,x,x,x
その他の技術【学歴計】,～17歳,-,-,-,-,-,-,-,-
その他の技術【学歴計】,18～19歳,3,x,x,x,-,-,-,-
その他の技術【学歴計】,20～21歳,15,1.2,212669,3977183,-,-,-,-
その他の技術【学歴計】,22～24歳,36,1.3,235499,3513767,7,2.4,210279,2990767
その他の技術【学歴計】,25～29歳,133,4.4,273029,4637426,27,3.3,237175,3428329
その他の技術【学歴計】,30～34歳,121,6.9,306465,5038452,37,5.5,271277,4346883
その他の技術【学歴計】,35～39歳,123,10,329555,5429915,48,7.8,288078,4771418
その他の技術【学歴計】,40～44歳,147,11.1,374699,5941390,52,8.2,307229,4590723
その他の技術【学歴計】,45～49歳,213,16.1,390050,6515534,83,10.4,340432,5306289
その他の技術【学歴計】,50～54歳,213,16.1,423020,6566531,43,15.1,300427,4814268
その他の技術【学歴計】,55～59歳,155,17.2,420075,6726393,24,8.1,339624,4287306
その他の技術【学歴計】,60歳以上,117,15.8,384124,5946556,30,6.8,340444,4411681
生産・作業【学歴計】,～17歳,-,-,-,-,-,-,-,-
生産・作業【学歴計】,18～19歳,10,0.5,193332,-,4,x,x,x
生産・作業【学歴計】,20～21歳,38,1.2,208690,2684484,15,2.1,193400,2370375
生産・作業【学歴計】,22～24歳,71,2.3,235684,3894189,26,2.4,216809,2659798
生産・作業【学歴計】,25～29歳,153,4.4,243051,3877006,37,3.8,226781,3531814
生産・作業【学歴計】,30～34歳,144,7.3,271417,4340818,38,7.1,294827,5521755
生産・作業【学歴計】,35～39歳,186,10.1,298627,4852064,31,7.7,226902,2922929
生産・作業【学歴計】,40～44歳,222,11.9,311197,4882687,40,12.4,264149,5325364
生産・作業【学歴計】,45～49歳,263,16.7,346416,5573711,60,12.8,257099,3873299
生産・作業【学歴計】,50～54歳,292,19.7,380004,5934065,64,15.5,287030,4545297
生産・作業【学歴計】,55～59歳,245,19.6,352963,5685336,68,15,231020,3281547
生産・作業【学歴計】,60歳以上,143,20.8,300436,4321579,30,17.3,223172,3134077
運転・運搬【学歴計】,～17歳,-,-,-,-,-,-,-,-
運転・運搬【学歴計】,18～19歳,4,x,x,x,-,-,-,-
運転・運搬【学歴計】,20～21歳,2,x,x,x,-,-,-,-
運転・運搬【学歴計】,22～24歳,10,1.8,227310,3701750,-,-,-,-
運転・運搬【学歴計】,25～29歳,13,2.2,236021,3354100,2,x,x,x
運転・運搬【学歴計】,30～34歳,29,4.9,262279,4040958,-,-,-,-
運転・運搬【学歴計】,35～39歳,39,7.2,270769,4304971,-,-,-,-
運転・運搬【学歴計】,40～44歳,44,7.3,289287,4183056,2,x,x,x
運転・運搬【学歴計】,45～49歳,90,9,280420,4339196,2,x,x,x
運転・運搬【学歴計】,50～54歳,135,10.5,301743,4424012,5,8.2,267063,3752980
運転・運搬【学歴計】,55～59歳,144,12.7,298384,4389225,-,-,-,-
運転・運搬【学歴計】,60歳以上,67,14.7,262690,3427412,-,-,-,-
