,,０～５％未満        ,５～10％未満        ,10～20％未満        ,20～30％未満        ,30～40％未満        ,40％以上           ,無回答            ,ｎ
,今回調査（全体）,59.8,15.9,7.6,3.8,2.9,6.8,3.2,2316
業種別,情報・コンテンツ業,56.7,14.1,9.5,5.1,3.2,7.4,4,631
業種別,専門サービス業,57.9,17.2,7.7,3.1,3.2,9.1,1.7,806
業種別,技術サービス業,62.1,16,6.8,2.1,3.3,5.9,3.8,338
業種別,事業サービス業,66.4,14.6,5.4,4.8,2.2,2.8,3.8,500
特定10業種別,ソフトウェア業,57.4,13.5,11,4.6,2.1,8.5,2.8,282
特定10業種別,インターネット附随サービス業,50.8,13.6,5.1,6.8,8.5,13.6,1.7,59
特定10業種別,映像情報制作・配給業,51.5,17.6,8.8,5.9,2.9,8.8,4.4,68
特定10業種別,出版業,74.5,14.5,0,0,1.8,0,9.1,55
特定10業種別,税理士事務所,70.5,20.7,3.7,1.4,0,2.8,0.9,217
特定10業種別,デザイン業,63.5,14.4,11.5,2.9,3.8,2.9,1,104
特定10業種別,経営コンサルタント業,50.9,12,8.6,2.9,5.7,17.1,2.9,175
特定10業種別,建築設計業,60.3,15.6,7.8,1.1,3.4,7.3,4.5,179
特定10業種別,自動車整備業,59.3,14.8,5.6,5.6,5.6,3.7,5.6,54
特定10業種別,建物サービス業,78.4,10.8,2.7,2.7,1.8,0,3.6,111
従業者規模別,1～2人,64.9,11.7,5.2,3.9,3.1,7.9,3.4,949
従業者規模別,3～5人,59.7,17.5,7.4,2.8,2.7,6.5,3.4,566
従業者規模別,6～9人,61.7,18.1,8.1,2.4,2,5.2,2.4,248
従業者規模別,10～29人,52.7,19.7,10.8,5.1,3.8,5.7,2.2,315
従業者規模別,30人以上,47.6,21.9,12.4,5.2,3.3,6.2,3.3,210
年間売上高増減別（３年前）,大幅(10％以上)増加,35.5,16.2,12.4,6.4,6.4,21.4,1.7,234
年間売上高増減別（３年前）,やや(10％未満)増加,45.4,26.5,12.2,5,2.9,5.9,2.1,238
年間売上高増減別（３年前）,ほぼ(±５％未満)横ばい,65.9,16.2,6,3.5,1.5,3.2,3.8,662
年間売上高増減別（３年前）,やや(10％未満)減少,72.1,10.4,6.8,1.9,3.2,3.9,1.6,308
年間売上高増減別（３年前）,大幅(10％以上)減少,64,15.1,6.2,3.9,3,6.3,1.5,795
売上高経常利益率別,黒字,57.9,18.2,8,3.9,2.7,5.9,3.4,1393
売上高経常利益率別,赤字,63.1,11.8,6.8,4.3,3.4,8.9,1.8,677
経常損益の変化別（３年前）,増益,52.2,16.8,10.9,4.3,4.3,9.2,2.3,469
経常損益の変化別（３年前）,横ばい,61.8,17.8,7.7,3.8,1.7,4.6,2.6,765
経常損益の変化別（３年前）,減益,63.6,14.5,6,3.9,3.3,7,1.7,973
