表側１,表側２,表側３,回答企業数(件),消費者向け販売(％),インターネット販売(％),店舗支援の強化(％),オンライン商談(％),市場・商品情報のWeb配信(％),その他(％),特になし(％),無回答(％)
,,今回調査（全体）,760,7,8.2,4.7,13.3,6.8,6.2,61.7,3.3
業種別,,食料品卸売業,237,10.5,7.2,6.3,8,2.5,4.6,65,4.6
業種別,,生鮮食品卸売業,126,13.5,7.1,5.6,5.6,0.8,2.4,69,4.8
業種別,,加工食品等卸売業,111,7.2,7.2,7.2,10.8,4.5,7.2,60.4,4.5
業種別,,衣料品関連卸売業,145,6.2,13.8,6.2,14.5,10.3,6.9,54.5,2.1
業種別,,住関連卸売業,83,8.4,6,2.4,16.9,8.4,4.8,63.9,0
業種別,,その他卸売業,288,3.8,6.9,3.5,16,7.6,7.6,62.2,3.8
従業者規模別,,1～5人,399,5.8,6.5,3.8,10,5,4.5,69.4,2.5
従業者規模別,,6～9人,101,7.9,11.9,4,8.9,9.9,10.9,55.4,3
従業者規模別,,10～49人,208,8.7,8.2,5.8,16.8,6.7,7.2,55.3,4.8
従業者規模別,,50人以上,36,8.3,13.9,11.1,44.4,22.2,2.8,36.1,0
取引形態別,一次卸,小売直取引卸,219,6.4,12.3,5.9,11.9,8.7,2.7,58.9,5
取引形態別,一次卸,他部門直取引卸,50,6,4,4,20,6,8,60,2
取引形態別,一次卸,元卸,154,6.5,9.1,0.6,20.8,10.4,11,55.2,3.2
取引形態別,二次卸,中間卸,85,8.2,4.7,10.6,10.6,2.4,4.7,63.5,0
取引形態別,二次卸,最終卸,135,8.9,7.4,5.9,8.1,5.2,5.2,67.4,2.2
取引形態別,その他,製造問屋,19,5.3,10.5,5.3,15.8,5.3,5.3,63.2,0
取引形態別,その他,その他卸,77,6.5,3.9,2.6,11.7,5.2,7.8,64.9,6.5
売上高増減別(前年同期比),,増加,56,5.4,5.4,3.6,19.6,14.3,10.7,55.4,5.4
売上高増減別(前年同期比),,横ばい,108,2.8,1.9,4.6,17.6,7.4,7.4,60.2,4.6
売上高増減別(前年同期比),,減少,585,7.7,9.4,5,12,6,5.3,62.7,2.9
売上高増減別(３年前),,増加,136,8.1,6.6,2.9,16.9,10.3,13.2,51.5,5.1
売上高増減別(３年前),,横ばい,130,5.4,7.7,4.6,18.5,6.9,6.2,59.2,2.3
売上高増減別(３年前),,減少,443,7.4,8.6,5.2,10.4,5.2,3.4,66.6,2.9
経常損益の変化別(前年同期比),,増益,67,3,3,1.5,20.9,10.4,10.4,58.2,7.5
経常損益の変化別(前年同期比),,横ばい,124,6.5,3.2,7.3,12.1,4,5.6,61.3,6.5
経常損益の変化別(前年同期比),,減益,543,7.6,9.8,4.6,12.5,6.8,5.3,62.6,2.2
経常損益の変化別(３年前),,増益,128,6.3,5.5,4.7,11.7,7,11.7,61.7,2.3
経常損益の変化別(３年前),,横ばい,229,5.7,6.1,4.8,12.7,7.4,5.2,63.8,3.9
経常損益の変化別(３年前),,減益,351,8.8,9.4,4.6,13.7,6.3,3.7,62.4,3.1
