表側１,表側２,表側３,回答企業数(件),１千万円未満(%),１～３千万円未満(%),３～５千万円未満(%),５千万～１億円未満(%),１～３億円未満(%),３～５億円未満(%),５億円以上(%),無回答(%)
,,今回調査（全体）,2141,41.0,21.3,8.2,8.0,11.3,3.4,3.7,3.1
,,前回調査,2003,44.1,21.3,9.3,7.1,10.1,2.4,2.4,3.2
業種別,,総合商品小売業,189,3.2,2.1,2.6,3.2,50.3,19.6,15.3,3.7
業種別,,生鮮食品小売業,134,29.9,27.6,13.4,11.2,11.2,0.0,3.7,3.0
業種別,,食料品関連小売業,535,49.7,28.4,7.5,5.2,3.9,0.9,1.7,2.6
業種別,,衣料品関連小売業,298,57.4,17.1,7.7,4.7,5.0,2.0,1.7,4.4
業種別,,住関連小売業,167,44.3,26.3,9.6,7.8,3.6,0.6,3.0,4.8
業種別,,その他小売業,773,38.7,20.6,9.2,11.6,11.5,2.7,3.4,2.3
従業者規模別,,１～２人,1066,66.6,24.7,3.5,1.0,1.0,0.0,0.0,3.2
従業者規模別,,３～５人,486,24.1,31.3,20.6,15.6,5.1,0.4,0.2,2.7
従業者規模別,,６～19人,336,3.0,7.4,9.5,22.3,45.5,8.6,1.2,2.4
従業者規模別,,20人以上,170,0.0,0.6,1.2,2.9,29.4,21.8,41.8,2.4
