表側１,表側２,表側３,回答企業数(件),１％未満(％),１～５％未満(％),５～10％未満(％),10～20％未満(％),20～50％未満(％),無回答(％)
,,"今回調査
（全体）",280,34.6,27.9,12.9,11.1,13.6,0.0
業種別,,食料品卸売業,76,30.3,25.0,15.8,13.2,15.8,0.0
業種別,,生鮮食品卸売業,32,25.0,25.0,15.6,12.5,21.9,0.0
業種別,,加工食品等卸売業,44,34.1,25.0,15.9,13.6,11.4,0.0
業種別,,衣料品関連卸売業,43,32.6,27.9,9.3,14.0,16.3,0.0
業種別,,住関連卸売業,39,41.0,17.9,17.9,7.7,15.4,0.0
業種別,,その他卸売業,111,37.8,33.3,9.9,8.1,10.8,0.0
従業者規模別,,１～５人,132,30.3,28.0,14.4,12.9,14.4,0.0
従業者規模別,,６～９人,54,40.7,20.4,16.7,7.4,14.8,0.0
従業者規模別,,10～49人,74,37.8,29.7,8.1,12.2,12.2,0.0
従業者規模別,,50人以上,14,35.7,28.6,14.3,7.1,14.3,0.0
取引形態別,一次卸,小売直取引卸,97,28.9,26.8,13.4,15.5,15.5,0.0
取引形態別,一次卸,他部門直取引卸,14,42.9,42.9,14.3,0.0,0.0,0.0
取引形態別,一次卸,元卸,49,36.7,30.6,14.3,4.1,14.3,0.0
取引形態別,二次卸,中間卸,31,41.9,22.6,16.1,3.2,16.1,0.0
取引形態別,二次卸,最終卸,49,34.7,30.6,8.2,14.3,12.2,0.0
取引形態別,その他,製造問屋,5,40.0,20.0,20.0,0.0,20.0,0.0
取引形態別,その他,その他卸,20,50.0,25.0,0.0,10.0,15.0,0.0
年間売上高増減別（3年前）,,大幅増加（10％以上）,33,48.5,6.1,24.2,6.1,15.2,0.0
年間売上高増減別（3年前）,,やや増加（10％未満）,41,34.1,34.1,9.8,12.2,9.8,0.0
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,50,34.0,32.0,12.0,14.0,8.0,0.0
年間売上高増減別（3年前）,,やや減少（10％未満）,58,36.2,25.9,8.6,10.3,19.0,0.0
年間売上高増減別（3年前）,,大幅減少（10％以上）,84,31.0,31.0,14.3,9.5,14.3,0.0
