表側１,表側２,表側３,回答企業数(件),単独で完備(%),他店と共同で完備(%),備えていない(%),無回答(%)
,,今回調査（全体）,2141,14.9,4.4,78.2,2.4
,,前回調査,2003,15.2,3.5,79.9,1.4
業種別,,総合商品小売業,189,36.5,3.7,59.8,0.0
業種別,,生鮮食品小売業,134,6.7,4.5,87.3,1.5
業種別,,食料品関連小売業,535,14.4,2.4,83.0,0.2
業種別,,衣料品関連小売業,298,10.1,6.7,82.2,1.0
業種別,,住関連小売業,167,19.8,4.8,75.4,0.0
業種別,,その他小売業,773,13.2,5.2,81.2,0.4
従業者規模別,,１～２人,1066,10.5,2.2,84.5,2.8
従業者規模別,,３～５人,486,15.8,5.6,76.3,2.3
従業者規模別,,６～19人,336,20.8,6.0,71.4,1.8
従業者規模別,,20人以上,170,31.2,12.9,54.1,1.8
店舗立地環境別,,駅周辺,579,5.5,7.1,86.9,0.5
店舗立地環境別,,商業地（駅周辺を除く,485,7.4,3.5,88.9,0.2
店舗立地環境別,,ロードサイド,128,41.4,8.6,50.0,0.0
店舗立地環境別,,住宅街,740,25.3,2.7,71.6,0.4
店舗立地環境別,,オフィス街,60,3.3,1.7,93.3,1.7
店舗立地環境別,,工業地・倉庫街,2,0.0,0.0,100.0,0.0
店舗立地環境別,,その他,59,10.2,3.4,84.7,1.7
