表側１,表側２,表側３,回答企業数(件),増加（５％以上）(%),ほぼ横ばい（±５％未満）(%),やや減少（10％未満）(%),減少（20％未満）(%),大幅減少（20％以上）(%),３年前は未創業(%),無回答(%)
,,今回調査（全体）,2141,8.8,22.0,17.3,23.7,23.8,0.3,4.2
業種別,,総合商品小売業,189,24.3,34.9,20.6,13.8,3.7,0.0,2.6
業種別,,生鮮食品小売業,134,6.0,22.4,21.6,23.1,23.1,0.0,3.7
業種別,,食料品関連小売業,535,7.7,22.6,21.3,25.4,20.7,0.2,2.1
業種別,,衣料品関連小売業,298,9.4,11.4,11.1,25.5,39.6,0.7,2.3
業種別,,住関連小売業,167,4.2,22.8,11.4,27.5,31.7,0.0,2.4
業種別,,その他小売業,773,7.5,23.5,17.5,24.7,24.5,0.4,1.9
従業者規模別,,１～２人,1066,4.7,16.5,14.7,25.5,34.1,0.4,4.1
従業者規模別,,３～５人,486,8.4,23.5,18.5,26.7,18.9,0.0,3.9
従業者規模別,,６～19人,336,16.4,31.3,24.1,17.6,6.3,0.6,3.9
従業者規模別,,20人以上,170,22.9,36.5,19.4,13.5,3.5,0.0,4.1
年間売上高増減別（3年前）,,増加（５％以上）,227,53.7,27.8,6.6,7.0,3.1,0.0,1.8
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,7.7,55.6,16.3,10.2,5.3,0.0,4.9
年間売上高増減別（3年前）,,やや減少（10％未満）,450,1.8,16.2,40.0,29.3,10.2,0.0,2.4
年間売上高増減別（3年前）,,減少（20％未満）,434,1.6,7.4,16.6,46.8,25.3,0.0,2.3
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,1.1,2.5,2.7,20.9,67.9,0.0,4.9
店舗立地環境別,,駅周辺,579,12.1,20.2,20.2,24.9,18.8,0.3,3.5
店舗立地環境別,,商業地（駅周辺を除く,485,9.9,20.6,15.9,25.4,26.6,0.2,1.4
店舗立地環境別,,ロードサイド,128,5.5,29.7,21.9,17.2,22.7,0.0,3.1
店舗立地環境別,,住宅街,740,5.8,24.7,17.0,23.9,26.8,0.3,1.5
店舗立地環境別,,オフィス街,60,15.0,18.3,18.3,21.7,25.0,1.7,0.0
店舗立地環境別,,工業地・倉庫街,2,0.0,50.0,0.0,50.0,0.0,0.0,0.0
店舗立地環境別,,その他,59,18.6,20.3,15.3,22.0,18.6,0.0,5.1
所在地別,,都心,167,16.2,22.2,13.8,23.4,20.4,0.6,3.6
所在地別,,副都心,216,15.7,22.2,15.7,20.4,22.2,0.5,3.2
所在地別,,城東,546,10.4,22.7,15.9,21.8,25.8,0.2,3.1
所在地別,,城南,215,6.0,20.0,18.6,29.3,22.3,0.0,3.7
所在地別,,城西,324,6.2,21.6,20.4,26.2,21.3,0.0,4.3
所在地別,,城北,158,4.4,23.4,16.5,17.1,31.0,0.6,7.0
所在地別,,多摩,504,5.8,21.4,18.7,25.4,23.6,0.4,4.8
