表側１,表側２,表側３,回答企業数(件),市場（仲卸）(%),卸売業者(%),メーカー・製造業者(%),輸入商社(%),海外(%),その他(%),無回答(%)
,,今回調査（全体）,2141,11.5,52.0,23.6,1.7,1.4,6.4,3.4
,,前回調査,2003,9.3,53.6,24.1,1.1,1.6,4.4,5.8
業種別,,総合商品小売業,189,1.1,27.5,34.9,0.0,0.0,29.1,7.4
業種別,,生鮮食品小売業,134,67.9,26.1,0.7,0.0,0.0,0.7,4.5
業種別,,食料品関連小売業,535,4.5,73.6,15.1,2.2,0.6,1.7,2.2
業種別,,衣料品関連小売業,298,2.7,54.0,29.2,4.0,4.0,3.0,3.0
業種別,,住関連小売業,167,1.8,53.3,33.5,1.8,2.4,4.2,3.0
業種別,,その他小売業,773,14.5,46.7,26.1,1.0,1.6,6.7,3.4
従業者規模別,,１～２人,1066,11.1,56.7,22.0,1.9,0.9,4.4,3.1
従業者規模別,,３～５人,486,15.2,52.3,22.8,1.2,0.8,3.7,3.9
従業者規模別,,６～19人,336,12.2,45.8,23.2,1.8,3.3,10.7,3.0
従業者規模別,,20人以上,170,4.1,35.9,36.5,1.2,1.8,17.6,2.9
