表側,構成比
各種商品卸売業(%),2.8
繊維・衣服等卸売業(%),7.2
飲食料品卸売業(%),13.6
建築材料，鉱物・金属材料等卸売業(%),18.0
機械器具卸売業(%),34.6
その他の卸売業(%),23.8
従業者数(人),845703
