表側１,表側２,表側３,回答企業数(件),都心(％),副都心(％),城東(％),城南(％),城西(％),城北(％),多摩･島しょ(％),関東(都内を除く)(％),関東以外の道府県(％),海外(％),無回答(％)
,,今回調査（全体）,760,13.6,9.6,12.5,5,3.9,0.9,4.9,23.4,18.9,2.2,5
,,前回調査,823,13,8.6,11.8,3.5,2.7,1,4.3,31.8,17.6,1.7,4
業種別,,食料品卸売業,237,16,11,16.5,6.3,5.9,0,7.6,20.7,8.4,2.5,5.1
業種別,,生鮮食品卸売業,126,19.8,11.1,14.3,8.7,7.1,0,4.8,22.2,7.9,1.6,2.4
業種別,,加工食品等卸売業,111,11.7,10.8,18.9,3.6,4.5,0,10.8,18.9,9,3.6,8.1
業種別,,衣料品関連卸売業,145,12.4,15.9,10.3,2.8,1.4,0,1.4,26.2,24.8,0.7,4.1
業種別,,住関連卸売業,83,13.3,9.6,4.8,4.8,3.6,2.4,3.6,31.3,16.9,2.4,7.2
業種別,,その他卸売業,288,11.8,5.2,12.5,5.2,3.8,1.7,4.9,22.6,24.7,2.8,4.9
従業者規模別,,1～5人,399,13,7.8,14.8,6,4.5,1.3,6.8,20.3,16.5,2.5,6.5
従業者規模別,,6～9人,101,11.9,8.9,12.9,6.9,4,1,3,20.8,24.8,3,3
従業者規模別,,10～49人,208,16.8,11.1,8.7,3.4,3.8,0.5,2.9,28.4,18.8,1.9,3.8
従業者規模別,,50人以上,36,5.6,25,8.3,0,0,0,2.8,33.3,25,0,0
取引形態別,一次卸,小売直取引卸,219,8.7,13.7,9.6,3.2,4.1,0.5,3.2,25.1,26.5,0.5,5
取引形態別,一次卸,他部門直取引卸,50,6,8,8,6,0,2,6,36,22,6,0
取引形態別,一次卸,元卸,154,11.7,9.1,13,3.9,1.9,0,2.6,21.4,26,3.2,7.1
取引形態別,二次卸,中間卸,85,9.4,5.9,12.9,8.2,5.9,1.2,8.2,21.2,16.5,5.9,4.7
取引形態別,二次卸,最終卸,135,25.9,8.9,13.3,6.7,5.9,1.5,8.1,23,3.7,1.5,1.5
取引形態別,その他,製造問屋,19,21.1,0,10.5,5.3,0,0,0,31.6,26.3,0,5.3
取引形態別,その他,その他卸,77,19.5,6.5,19.5,6.5,6.5,1.3,5.2,15.6,11.7,1.3,6.5
売上高増減別(前年同期比),,増加,56,14.3,3.6,3.6,1.8,8.9,1.8,5.4,30.4,25,0,5.4
売上高増減別(前年同期比),,横ばい,108,9.3,7.4,10.2,8.3,3.7,0.9,4.6,25.9,23.1,2.8,3.7
売上高増減別(前年同期比),,減少,585,14.5,10.6,13.8,4.4,3.2,0.9,5,22.1,17.9,2.4,5.1
売上高増減別(３年前),,増加,136,14,9.6,10.3,5.1,5.1,0,2.2,27.9,21.3,1.5,2.9
売上高増減別(３年前),,横ばい,130,15.4,7.7,10,5.4,3.8,0.8,6.9,22.3,23.1,1.5,3.1
売上高増減別(３年前),,減少,443,12.9,10.2,13.3,5.2,3.2,1.4,5.2,23.3,17.2,2,6.3
所在地別,,都心,152,27.6,5.9,2.6,3.9,1.3,0,0,22.4,27,3.9,5.3
所在地別,,副都心,85,11.8,29.4,2.4,4.7,1.2,1.2,0,21.2,22.4,2.4,3.5
所在地別,,城東,247,11.3,8.9,27.1,2,2,0.4,0.8,21.5,18.2,2.8,4.9
所在地別,,城南,71,12.7,8.5,7,25.4,5.6,0,0,25.4,11.3,1.4,2.8
所在地別,,城西,75,9.3,5.3,5.3,4,21.3,0,5.3,21.3,20,1.3,6.7
所在地別,,城北,40,10,2.5,15,2.5,2.5,12.5,2.5,35,15,0,2.5
所在地別,,多摩,81,2.5,4.9,6.2,1.2,1.2,0,35.8,29.6,12.3,0,6.2
