"
区分",高校卒（円）,高専・短大卒（円）,専門学校卒（円）,大学卒（円）
ア．４系列職種／職種計,198421,208701,209953,222005
ア．４系列職種／営業販売系,194009,204092,205361,219848
ア．４系列職種／事務系,192238,202950,203927,218912
ア．４系列職種／技術系,195463,207557,207789,221696
ア．４系列職種／生産系,192464,203995,204622,215645
イ．１１職種／(１)営業,192047,203626,204068,220558
イ．１１職種／(２)販売,200151,206189,209491,216357
イ．１１職種／(３)一般事務,192862,203327,204325,218528
イ．１１職種／(４)会計事務,194760,203380,203037,217364
"イ．１１職種／(５)営業事務
・販売事務",192276,203308,204113,219471
イ．１１職種／(６)機械技術,193418,208015,208780,218177
イ．１１職種／(７)電気技術,191125,202921,202944,213148
イ．１１職種／(８)情報処理技術,198767,211131,209327,229818
イ．１１職種／(９)その他の技術,195722,205937,207319,220148
イ．１１職種／(10)生産・作業,191122,202339,202517,214318
イ．１１職種／(11)運転・運搬,199388,211018,213691,220295
