表側１,表側２,表側３,回答企業数(件),大幅増加（10％以上）(%),やや増加（10％未満）(%),ほぼ横ばい（±５％未満）(%),やや減少（10％未満）(%),大幅減少（10％以上）(%),３年前は未創業(%),無回答(%)
,,今回調査（全体）,2141,0.7,5.9,62.2,17.0,10.0,0.5,3.7
業種別,,総合商品小売業,189,0.5,4.8,77.8,3.7,1.1,0.5,11.6
業種別,,生鮮食品小売業,134,2.2,6.0,61.2,12.7,13.4,0.0,4.5
業種別,,食料品関連小売業,535,0.7,6.4,64.5,17.8,8.4,0.4,1.9
業種別,,衣料品関連小売業,298,0.7,8.1,38.6,28.9,20.5,0.7,2.7
業種別,,住関連小売業,167,0.0,4.2,65.3,16.8,10.8,0.0,3.0
業種別,,その他小売業,773,0.5,5.6,65.3,16.0,8.4,0.6,3.5
従業者規模別,,１～２人,1066,0.1,3.6,57.5,19.9,15.2,0.6,3.2
従業者規模別,,３～５人,486,1.2,7.0,62.6,18.5,7.6,0.2,2.9
従業者規模別,,６～19人,336,0.9,9.2,71.7,11.3,0.9,0.6,5.4
従業者規模別,,20人以上,170,1.8,10.6,77.6,4.7,0.6,0.6,4.1
年間売上高増減別（3年前）,,増加（５％以上）,227,3.1,21.1,67.4,5.3,0.9,0.0,2.2
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,0.4,6.9,77.2,11.6,0.6,0.0,3.3
年間売上高増減別（3年前）,,やや減少（10％未満）,450,0.2,3.3,70.0,21.1,3.6,0.0,1.8
年間売上高増減別（3年前）,,減少（20％未満）,434,0.2,4.1,59.2,23.7,10.8,0.0,1.8
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,0.7,1.8,43.4,21.1,31.7,0.0,1.3
売上高経常利益率別,,黒字（プラス）,1093,0.8,7.6,68.0,15.1,5.2,0.5,2.8
売上高経常利益率別,,赤字（マイナス）,838,0.5,4.1,57.0,20.5,16.8,0.5,0.6
経常損益の変化別（3年前）,,増益,316,1.9,11.4,65.8,16.1,3.8,0.0,0.9
経常損益の変化別（3年前）,,横ばい,702,0.7,6.1,69.5,15.1,6.1,0.0,2.4
経常損益の変化別（3年前）,,減益,999,0.3,4.4,58.7,19.5,15.2,0.0,1.9
