表側１,表側２,表側３,回答企業数(件),5千万円未満(％),5千万～1億円未満(％),1～3億円未満(％),3～5億円未満(％),5～10億円未満(％),10～30億円未満(％),30～50億円未満(％),50億円以上(％),無回答(％)
,,今回調査（全体）,760,29.9,12.5,19.2,7.6,12,10.7,3.4,3.4,1.3
,,前回調査,823,28.7,15.6,20.2,9.4,8.1,9.5,2.1,2.7,3.9
業種別,,食料品卸売業,237,26.6,12.7,18.1,7.6,13.5,11,4.6,4.6,1.3
業種別,,生鮮食品卸売業,126,20.6,11.9,22.2,8.7,12.7,13.5,5.6,2.4,2.4
業種別,,加工食品等卸売業,111,33.3,13.5,13.5,6.3,14.4,8.1,3.6,7.2,0
業種別,,衣料品関連卸売業,145,31,13.8,22.8,10.3,9.7,6.2,4.1,1.4,0.7
業種別,,住関連卸売業,83,31.3,12,18.1,3.6,13.3,14.5,2.4,4.8,0
業種別,,その他卸売業,288,31.6,11.5,19.1,7.6,11.5,11.1,2.4,3.1,2.1
従業者規模別,,1～5人,399,52.6,19.5,18.3,3.3,3.3,1.3,0.3,0,1.5
従業者規模別,,6～9人,101,6.9,9.9,45.5,14.9,12.9,5,2,2,1
従業者規模別,,10～49人,208,1,3.4,12,13.9,28.8,27.9,8.2,4.3,0.5
従業者規模別,,50人以上,36,0,0,0,0,8.3,36.1,13.9,38.9,2.8
取引形態別,一次卸,小売直取引卸,219,33.3,11.4,19.6,6.4,11.4,9.6,4.6,2.7,0.9
取引形態別,一次卸,他部門直取引卸,50,14,14,16,2,16,28,4,4,2
取引形態別,一次卸,元卸,154,15.6,15.6,25.3,13.6,13,8.4,2.6,5.2,0.6
取引形態別,二次卸,中間卸,85,35.3,14.1,16.5,5.9,11.8,12.9,1.2,0,2.4
取引形態別,二次卸,最終卸,135,30.4,9.6,20,8.9,12.6,9.6,4.4,3.7,0.7
取引形態別,その他,製造問屋,19,31.6,21.1,10.5,0,15.8,15.8,0,5.3,0
取引形態別,その他,その他卸,77,50.6,11.7,11.7,6.5,6.5,5.2,3.9,3.9,0
