表側１,表側２,表側３,回答企業数(件),電話(％),ファクシミリ(％),EOS(オンライン)(％),電子メール(％),インターネット(％),展示会(％),仕入先に出向く(％),営業担当者(％),その他(％),無回答(％)
,,今回調査（全体）,2003,51.9,37.2,16.8,9.6,17.6,6.2,25.1,14,2.4,1.8
業種別,,総合商品小売業,164,3.7,6.7,76.8,0,11,0,4.9,1.8,7.9,4.3
業種別,,生鮮食品小売業,113,54,27.4,0,3.5,1.8,0,38.1,9.7,0,0.9
業種別,,食料品関連小売業,511,68.9,43.2,6.8,7.4,12.7,2.2,19.8,10.4,0.8,1.2
業種別,,衣料品関連小売業,314,43.3,24.5,3.2,11.5,8,21,53.2,20.7,2.2,1.6
業種別,,住関連小売業,162,67.9,55.6,16.7,11.1,27.8,2.5,11.7,15.4,1.2,3.1
業種別,,その他小売業,737,50.5,42.6,18.7,13,26.7,6,22.3,16.7,3.1,1.6
従業者規模別,,1～2人,1059,56.9,35.4,5.6,7.4,13.9,7,29.9,12.8,1.5,1.4
従業者規模別,,3～5人,488,55.7,46.7,14.3,11.9,21.3,7.4,25.8,18.2,3.1,2
従業者規模別,,6～19人,272,40.4,36.4,43.8,14,26.5,3.7,13.6,14,3.3,2.6
従業者規模別,,20人以上,134,23.1,23.9,61.2,11.9,20.1,3,5.2,11.9,5.2,2.2
売上高規模別,,1千万円未満,884,56.8,32,4.6,5.1,11,5.1,31.1,11,1.7,1.9
売上高規模別,,1～3千万円未満,427,58.3,41.7,10.1,11.9,21.3,9.6,25.3,17.3,2.6,1.4
売上高規模別,,3～5千万円未満,186,54.3,55.9,17.7,16.7,24.2,10.2,23.1,19.4,1.6,0.5
売上高規模別,,5千万～1億円未満,142,50,52.1,25.4,14.8,29.6,4.9,19,22.5,2.1,2.1
売上高規模別,,1～3億円未満,202,30.2,29.2,52.5,12.4,21.8,3,10.9,10.9,5.4,2
売上高規模別,,3～5億円未満,49,26.5,30.6,57.1,16.3,26.5,2,4.1,8.2,4.1,6.1
売上高規模別,,5億円以上,48,25,22.9,68.8,18.8,22.9,8.3,10.4,20.8,6.3,0
