,,決まっている,候補がいない,候補はいるが決まっていない,まだ決める必要がない,その他,無回答,ｎ
,今回調査（全体）,29.9,14.9,32.1,21.2,0.4,1.6,833
,前回調査,32.1,10.7,25.5,13.1,0.4,18.3,788
業種別,情報・コンテンツ業,23.2,15.2,29.9,30.8,0.5,0.5,211
業種別,専門サービス業,29.2,17.3,31.3,20.1,0,2.1,284
業種別,技術サービス業,31.8,14.5,35.5,15.5,0.9,1.8,110
業種別,事業サービス業,36.7,11.9,32.9,16.7,0.5,1.4,210
特定10業種別,ソフトウェア業,22,11.9,27.5,36.7,0.9,0.9,109
特定10業種別,インターネット附随サービス業,28.6,14.3,21.4,35.7,0,0,14
特定10業種別,映像情報制作・配給業,21.1,26.3,26.3,26.3,0,0,19
特定10業種別,出版業,25,12.5,37.5,25,0,0,16
特定10業種別,税理士事務所,37.7,21.7,23.6,12.3,0,4.7,106
特定10業種別,デザイン業,27.3,24.2,42.4,6.1,0,0,33
特定10業種別,経営コンサルタント業,24.5,14.3,34.7,24.5,0,2,49
特定10業種別,建築設計業,25.9,18.5,37,14.8,1.9,1.9,54
特定10業種別,自動車整備業,45,30,15,5,0,5,20
特定10業種別,建物サービス業,50.9,5.5,30.9,10.9,0,1.8,55
従業者規模別,1～2人,18,21.9,25.1,33.3,0,1.6,183
従業者規模別,3～5人,32.7,15.3,29.8,19.8,0.4,2,248
従業者規模別,6～9人,38.8,10.4,36.6,14.2,0,0,134
従業者規模別,10～29人,31.9,11.7,36.2,17.2,1.2,1.8,163
従業者規模別,30人以上,29.3,12,38,19.6,0,1.1,92
代表者の年齢別,40歳未満,11.1,11.1,0,77.8,0,0,9
代表者の年齢別,40歳代,11,22,18.3,45.1,0,3.7,82
代表者の年齢別,50歳代,16.4,19.5,33.6,29.2,0.9,0.4,226
代表者の年齢別,60歳代,28.9,14.4,39.2,15.6,0.4,1.5,263
代表者の年齢別,70歳以上,50.4,9,29.5,9.4,0,1.6,244
事業承継予定別,子・子の配偶者に継がせたい,55.9,3.3,24.1,15.2,0,1.5,270
事業承継予定別,配偶者に継がせたい,53.3,0,0,33.3,6.7,6.7,15
事業承継予定別,子・子の配偶者及び配偶者以外の親族に継がせたい,23.8,23.8,33.3,14.3,0,4.8,21
事業承継予定別,従業員に継がせたい,21,13.1,45.5,19.3,0.6,0.6,352
事業承継予定別,外部の人間に継がせたい,6.7,27.8,25.6,37.8,0,2.2,90
事業承継予定別,誰でもよいから継がせたい,5.9,45.9,14.1,30.6,0,3.5,85
