表側,回答企業数(件),総合商品小売業(％),生鮮食品小売業(％),食料品関連小売業(％),衣料品関連小売業(％),住関連小売業(％),その他小売業(％),無回答(％)
今回調査（全体）,2003,8.2,5.6,25.5,15.7,8.1,36.8,0.1
前回調査,2189,6.9,5.8,24.3,15.9,9,36.9,1.2
