区分,集計企業数（社）,平均所定労働時間（時間:分）,７時間未満（社）,７時間（社）,７時間超７時間３０分未満（社）,７時間３０分超８時間未満（社）,８時間（社）,８時間超（社）,無回答（社）
調査産業計,876,7:46,9,81,150,81,503,8,44
労組有,63,7:41,1,6,15,7,28,1,5
労組無,813,7:46,8,75,135,74,475,7,39
建設業,71,7:47,0,8,9,9,42,0,3
製造業,207,7:48,1,9,37,35,113,2,10
情報通信業,58,7:47,0,4,12,6,32,0,4
運輸業，郵便業,42,7:49,0,2,8,2,27,0,3
卸売業，小売業,180,7:48,1,17,34,9,107,3,9
金融業，保険業,27,7:37,0,4,10,2,10,0,1
不動産業，物品賃貸業,16,7:26,2,2,2,2,8,0,0
学術研究，専門・技術サービス業,57,7:46,0,9,5,5,36,0,2
宿泊業，飲食サービス業,43,7:42,1,6,9,0,24,0,3
生活関連サービス業，娯楽業,34,7:40,1,4,10,3,13,1,2
教育，学習支援業（学校教育を除く）,30,7:25,2,9,2,0,15,1,1
医療，福祉,57,7:56,0,2,2,2,48,1,2
サービス業（他に分類されないもの）,54,7:43,1,5,10,6,28,0,4
10～49人,585,7:46,9,57,97,46,342,6,28
50～99人,188,7:45,0,17,42,22,97,1,9
100～299人,103,7:50,0,7,11,13,64,1,7
