"
区分",高校卒（円）,高専・短大卒（円）,専門学校卒（円）,大学卒（円）
ア．４系列職種／職種計,190873,201389,201938,215809
ア．４系列職種／営業販売系,188679,201147,200864,216276
ア．４系列職種／事務系,187056,197726,198444,213788
ア．４系列職種／技術系,189351,199852,199958,216717
ア．４系列職種／生産系,188739,200294,200125,214579
イ．１１職種／(１)営業,187964,201366,201081,217116
イ．１１職種／(２)販売,189966,199025,198026,212499
イ．１１職種／(３)一般事務,186085,196734,197880,213768
イ．１１職種／(４)会計事務,186005,196487,195474,213581
イ．１１職種／(５)営業事務・販売事務,186454,198351,197378,213967
イ．１１職種／(６)機械技術,188746,199400,199948,217721
イ．１１職種／(７)電気技術,185816,199806,197876,216139
イ．１１職種／(８)情報処理技術,191839,201424,199859,220235
イ．１１職種／(９)その他の技術,189878,200381,200502,216904
イ．１１職種／(10)生産・作業,185060,197348,196852,212487
イ．１１職種／(11)運転・運搬,209208,218860,216832,225777
