区分,合計／集計人員（人）,合計／平均年齢（歳）,合計／平均勤続年数（年）,合計／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,合計／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,合計／令和5年7月1か月の平均賃金／所定時間外賃金（円）,合計／令和4年年間給与支払額（円）,男性／集計人員（人）,男性／平均年齢（歳）,男性／平均勤続年数（年）,男性／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,男性／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,男性／令和5年7月1か月の平均賃金／所定時間外賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員（人）,女性／平均年齢（歳）,女性／平均勤続年数（年）,女性／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,女性／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,女性／令和5年7月1か月の平均賃金／所定時間外賃金（円）,女性／令和4年年間給与支払額（円）
調査産業計,3889,41.7,11.3,361388,10183,36244,5635619,3254,42.1,12,372100,10488,37888,5842675,635,39.7,7.2,305462,8625,27887,4474628
建設業,1053,42.2,12.7,369411,7179,56575,6445012,1005,42.1,12.9,371764,7012,57741,6511688,48,44,7.5,318254,10688,33696,4779978
製造業,654,44.7,13.4,341924,13266,24524,5152987,528,44.9,13.9,357852,14485,22833,5390385,126,43.7,11,271735,8158,31602,4065271
情報通信業,1267,38.1,10,376006,10376,30276,5618162,1054,39.4,10.9,389734,10911,31665,5836176,213,31.8,5.2,307232,7733,23429,4435527
運輸業，郵便業,5,54,11.6,374230,7578,0,4378467,5,54,11.6,374230,7578,0,4378467,-,-,-,-,-,-,-
卸売業，小売業,204,42.4,9.3,348038,7402,30020,5271983,157,42.3,10.2,357737,7886,33628,5460381,47,42.5,6.1,316625,5785,17969,4577886
金融業，保険業,16,42,8.4,603876,19767,24730,10323063,11,43.1,9.1,686231,22958,29953,11389582,5,39.6,6.8,422696,12746,13238,7976720
不動産業，物品賃貸業,43,48.2,7.3,386423,14617,19647,5247055,40,49.8,7.5,392102,14622,21121,5363229,3,x,x,x,x,x,x
学術研究，専門・技術サービス業,132,44.2,9.3,353117,14844,28808,5528405,72,44.6,9.4,381121,15547,22284,5580608,60,43.8,9.1,319802,14001,36636,5460847
宿泊業，飲食サービス業,56,50.4,13.2,298551,13819,7360,4249176,40,49.2,15.9,319029,14900,6019,4500474,16,53.5,6.4,247356,11117,18422,3269110
生活関連サービス業，娯楽業,63,44,11.8,360554,8598,30188,5215574,43,45.3,12.6,392644,7114,28326,5666318,20,41.2,10,291562,11789,34190,4213922
教育，学習支援業（学校教育を除く）,15,39.1,8.1,305139,9055,41961,4009165,8,34.5,7.5,306045,9327,20529,3767426,7,44.4,8.7,304104,8745,66453,4331483
医療，福祉,147,43.7,6.4,354429,7046,25108,4454856,63,44,6.8,376624,8062,20130,4574559,84,43.4,6.1,338338,6283,28841,4357072
サービス業（他に分類されないもの）,234,43.3,12.7,315021,14023,41080,4918381,228,43.4,12.9,316846,14100,42182,4941540,6,36.7,5.7,248716,11114,1765,3968880
