表側１,表側２,表側３,回答企業数(件),19歳以下(%),20歳代(%),30歳代(%),40歳代(%),50歳代(%),60歳代(%),70歳以上(%),無回答(%)
,,今回調査（全体）,2141,22.1,34.1,47.8,58.9,67.8,71.2,58.6,2.2
業種別,,総合商品小売業,189,60.8,68.3,77.2,82.0,74.1,71.4,60.3,3.2
業種別,,生鮮食品小売業,134,9.0,26.9,54.5,63.4,70.9,77.6,58.2,2.2
業種別,,食料品関連小売業,535,17.6,31.4,50.3,60.7,72.0,70.1,58.5,2.2
業種別,,衣料品関連小売業,298,9.7,15.4,25.5,41.3,47.7,61.4,52.7,0.7
業種別,,住関連小売業,167,4.2,19.2,33.5,48.5,68.3,80.8,64.1,1.2
業種別,,その他小売業,773,26.8,39.2,49.4,60.4,70.0,72.4,59.4,2.7
従業者規模別,,１～２人,1066,14.0,25.1,39.3,50.4,62.1,68.3,59.1,1.9
従業者規模別,,３～５人,486,20.8,35.0,50.8,63.8,72.8,75.3,58.6,3.7
従業者規模別,,６～19人,336,37.8,49.1,59.2,69.0,75.3,73.8,57.7,1.2
従業者規模別,,20人以上,170,52.4,61.8,75.9,82.4,75.9,71.8,62.9,2.4
店舗立地環境別,,駅周辺,579,25.0,36.6,49.1,63.2,68.6,70.3,57.9,2.1
店舗立地環境別,,商業地（駅周辺を除く,485,16.1,31.8,46.0,56.3,69.1,74.8,56.5,1.4
店舗立地環境別,,ロードサイド,128,26.6,42.2,54.7,63.3,68.8,69.5,56.3,5.5
店舗立地環境別,,住宅街,740,23.2,31.5,45.3,56.1,65.3,70.0,61.4,1.9
店舗立地環境別,,オフィス街,60,21.7,53.3,68.3,78.3,78.3,63.3,48.3,3.3
店舗立地環境別,,工業地・倉庫街,2,0.0,0.0,50.0,100.0,50.0,50.0,0.0,0.0
店舗立地環境別,,その他,59,23.7,30.5,52.5,54.2,62.7,69.5,59.3,3.4
,,,,,,,,,,,
,,,,,,,,,,,
