表側１,表側２,表側３,回答企業数(件),1～4(％),5～9(％),10～19(％),20～49(％),50以上(％),無回答(％)
,,今回調査（全体）,2003,43.1,29.5,14.6,6.1,3.2,3.5
,,前回調査,2189,43.2,30.2,16.1,5.2,2.3,2.9
業種別,,総合商品小売業,164,32.9,14.6,12.2,14,15.2,11
業種別,,生鮮食品小売業,113,46.9,24.8,17.7,2.7,0,8
業種別,,食料品関連小売業,511,44.6,33.9,13.5,3.9,2.3,1.8
業種別,,衣料品関連小売業,314,39.2,34.4,15.3,6.7,2.2,2.2
業種別,,住関連小売業,162,39.5,32.1,14.2,8,2.5,3.7
業種別,,その他小売業,737,46.4,27.7,15.1,5.8,2.2,2.8
従業者規模別,,1～2人,1059,53.9,29.7,11,1.6,0.6,3.1
従業者規模別,,3～5人,488,32.8,32.8,20.7,9,2.3,2.5
従業者規模別,,6～19人,272,24.6,31.6,16.5,13.6,8.8,4.8
従業者規模別,,20人以上,134,27.6,15.7,17.2,17.2,15.7,6.7
売上高規模別,,1千万円未満,884,62.1,25.8,8.1,0.9,0.5,2.6
売上高規模別,,1～3千万円未満,427,31.6,42.9,18.7,4.4,0.7,1.6
売上高規模別,,3～5千万円未満,186,21.5,37.6,28,10.2,1.1,1.6
売上高規模別,,5千万～1億円未満,142,28.9,29.6,23.2,12,5.6,0.7
売上高規模別,,1～3億円未満,202,29.2,19.3,16.8,19.8,9.9,5
売上高規模別,,3～5億円未満,49,22.4,10.2,18.4,18.4,22.4,8.2
売上高規模別,,5億円以上,48,20.8,16.7,14.6,14.6,31.3,2.1
