表側１,表側２,表側３,回答企業数(件),増加(%),不変(%),10％未満減少(%),10～30％未満減少(%),30～50％未満減少(%),50％以上減少(%),３年前は未創業(%),無回答(%)
,,今回調査（全体）,2141,2.3,51.9,18.0,15.8,3.9,2.5,0.2,5.3
業種別,,総合商品小売業,189,2.1,82.0,2.6,6.3,1.1,0.0,0.0,5.8
業種別,,生鮮食品小売業,134,2.2,47.0,23.1,16.4,6.7,1.5,0.0,3.0
業種別,,食料品関連小売業,535,2.4,49.3,22.8,14.8,3.4,3.6,0.2,3.6
業種別,,衣料品関連小売業,298,2.3,38.9,25.2,20.8,5.7,3.7,0.7,2.7
業種別,,住関連小売業,167,2.4,51.5,19.8,16.2,3.0,3.6,0.0,3.6
業種別,,その他小売業,773,2.3,55.0,15.5,17.7,4.3,2.1,0.1,3.0
従業者規模別,,１～２人,1066,1.9,44.7,18.9,19.2,5.7,3.9,0.3,5.4
従業者規模別,,３～５人,486,2.7,49.0,22.4,16.7,2.9,1.2,0.0,5.1
従業者規模別,,６～19人,336,2.7,68.5,13.4,9.2,1.2,0.0,0.3,4.8
従業者規模別,,20人以上,170,2.4,78.2,9.4,4.1,1.2,0.0,0.0,4.7
年間売上高増減別（3年前）,,増加（５％以上）,227,7.5,64.3,11.9,11.0,1.3,0.9,0.0,3.1
年間売上高増減別（3年前）,,ほぼ横ばい（±５％未満）,509,3.3,66.0,16.9,6.7,1.2,0.6,0.0,5.3
年間売上高増減別（3年前）,,やや減少（10％未満）,450,1.3,56.4,20.0,16.2,2.2,0.9,0.0,2.9
年間売上高増減別（3年前）,,減少（20％未満）,434,1.2,44.5,21.7,23.3,4.1,1.6,0.0,3.7
年間売上高増減別（3年前）,,大幅減少（20％以上）,445,0.4,34.4,18.4,21.6,10.6,7.4,0.0,7.2
店舗立地環境別,,駅周辺,579,2.9,51.1,19.9,19.2,1.7,1.4,0.2,3.6
店舗立地環境別,,商業地（駅周辺を除く,485,2.5,47.0,25.4,16.3,4.7,2.3,0.2,1.6
店舗立地環境別,,ロードサイド,128,0.0,58.6,21.9,11.7,2.3,0.8,0.0,4.7
店舗立地環境別,,住宅街,740,2.2,56.1,13.2,15.1,5.7,3.9,0.1,3.6
店舗立地環境別,,オフィス街,60,3.3,65.0,8.3,20.0,0.0,0.0,1.7,1.7
店舗立地環境別,,工業地・倉庫街,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
店舗立地環境別,,その他,59,1.7,61.0,16.9,6.8,6.8,3.4,0.0,3.4
所在地別,,都心,167,4.8,58.7,14.4,16.8,1.2,0.6,0.6,3
所在地別,,副都心,216,2.8,56.5,14.8,17.6,1.9,0.9,0.5,5.1
所在地別,,城東,546,2.2,52.2,17.6,15.6,4.9,2.9,0,4.6
所在地別,,城南,215,4.7,47.4,16.7,21.4,3.3,1.9,0,4.7
所在地別,,城西,324,1.2,50.6,21.9,14.2,4.6,2.2,0,5.2
所在地別,,城北,158,1.3,41.8,23.4,17.7,3.2,5.7,0.6,6.3
所在地別,,多摩,504,1.4,53,17.7,13.5,4.8,3,0.2,6.5
