学歴,勤続年数（年）,年齢（歳）,モデル所定時間内賃金／記入企業数（社）,モデル所定時間内賃金／金額Ａ（千円）,自己都合退職／退職金支給額／記入企業数（社）,自己都合退職／退職金支給額／金額Ｂ（千円）,自己都合退職／支給率（月数）／Ｂ/Ａ（月数）,会社都合退職／退職金支給額／記入企業数（社）,会社都合退職／退職金支給額／金額Ｃ（千円）,会社都合退職／支給率（月数）／Ｃ/Ａ（月数）
高校卒,1,19,5,196,1,x,x,2,x,x
高校卒,3,21,5,200,8,172,0.9,7,290,1.5
高校卒,5,23,4,x,8,338,1.6,7,495,2.4
高校卒,10,28,4,x,8,886,3.6,7,1225,5
高校卒,15,33,5,276,9,1609,5.8,8,2196,8
高校卒,20,38,4,x,8,2576,8.2,7,3427,10.8
高校卒,25,43,4,x,8,3708,10.8,7,4898,14.3
高校卒,30,48,4,x,8,4939,12.4,7,6598,16.5
高校卒,35,53,4,x,8,6117,14.1,7,8174,18.8
高校卒,37,55,4,x,7,6773,14.9,6,8802,19.3
高校卒,定年,定年,5,470,-,-,-,6,10261,21.8
高専・短大卒,1,21,5,206,1,x,x,2,x,x
高専・短大卒,3,23,4,x,7,174,0.8,7,298,1.4
高専・短大卒,5,25,3,x,6,393,1.7,6,578,2.5
高専・短大卒,10,30,3,x,6,1050,3.9,6,1415,5.3
高専・短大卒,15,35,3,x,6,2012,6.8,6,2600,8.7
高専・短大卒,20,40,3,x,6,3072,9.5,6,3878,12
高専・短大卒,25,45,4,x,7,4563,11.4,7,5727,14.4
高専・短大卒,30,50,3,x,6,6043,14,6,7622,17.6
高専・短大卒,35,55,3,x,6,7422,15.9,6,9347,20
高専・短大卒,定年,定年,4,x,-,-,-,5,11246,23.2
大学卒,1,23,15,222,5,77,0.3,6,112,0.5
大学卒,3,25,12,235,17,210,0.9,15,321,1.4
大学卒,5,27,11,253,18,401,1.6,16,576,2.3
大学卒,10,32,10,298,17,1022,3.4,15,1396,4.7
大学卒,15,37,12,346,18,1833,5.3,16,2543,7.3
大学卒,20,42,11,386,18,3026,7.8,16,3943,10.2
大学卒,25,47,10,441,17,4096,9.3,15,5253,11.9
大学卒,30,52,9,407,17,5249,12.9,15,6733,16.5
大学卒,33,55,10,430,17,6116,14.2,15,7842,18.2
大学卒,定年,定年,11,454,-,-,-,14,9648,21.3
