表側１,表側２,表側３,回答企業数(件),現事業を維持(％),現事業の拡大(％),現事業に加え、新たな事業を展開(％),現事業を一部縮小し、新たな事業を展開(％),現事業を一部縮小(％),その他(％),わからない・まだ決めていない(％),廃業の予定(％),無回答(％)
,,今回調査（全体）,2003,46.8,5.3,3.4,1.8,2.9,0.4,16.9,10.1,12.3
業種別,,総合商品小売業,164,48.8,21.3,3,0.6,1.8,1.2,12.8,6.1,4.3
業種別,,生鮮食品小売業,113,38.9,3.5,1.8,0,1.8,0.9,18.6,8,26.5
業種別,,食料品関連小売業,511,44.2,3.3,3.5,1.4,2.9,0.2,18.8,11.4,14.3
業種別,,衣料品関連小売業,314,43.6,1.9,3.8,3.5,5.1,0.3,15.6,11.8,14.3
業種別,,住関連小売業,162,49.4,3.1,3.7,1.9,1.2,0,18.5,11.7,10.5
業種別,,その他小売業,737,50.1,5.3,3.4,1.9,2.7,0.5,16.6,9.4,10.2
従業者規模別,,1～2人,1059,42.9,1.5,1.5,1.2,3.3,0.3,19.6,14.8,14.8
従業者規模別,,3～5人,488,52.9,5.7,4.5,2.7,1.8,0.4,14.8,5.5,11.7
従業者規模別,,6～19人,272,53.3,10.7,5.9,3.7,3.3,1.1,11.8,3.3,7
従業者規模別,,20人以上,134,46.3,23.9,9.7,0,2.2,0,11.9,0.7,5.2
売上高増減別(前年同期比),,増加,138,55.8,15.2,5.1,1.4,2.9,0.7,6.5,8,4.3
売上高増減別(前年同期比),,横ばい,251,49.4,7.6,3.6,1.6,2,0,15.1,8.8,12
売上高増減別(前年同期比),,減少,1536,46.1,4.2,3.3,2,3.1,0.5,17.8,10.2,12.8
売上高増減別(3年前),,増加,130,54.6,17.7,8.5,0,0.8,0,10,2.3,6.2
売上高増減別(3年前),,横ばい,338,54.1,7.7,3.6,0.9,2.4,0.9,15.1,5.9,9.5
売上高増減別(3年前),,減少,1346,44.5,3.5,2.9,2.3,3.4,0.4,18.1,11.5,13.4
経常損益の変化別(前年同期比),,増益,109,56.9,15.6,3.7,0,0.9,0.9,10.1,9.2,2.8
経常損益の変化別(前年同期比),,横ばい,337,51,9.2,4.2,1.2,3,0.3,13.6,7.1,10.4
経常損益の変化別(前年同期比),,減益,1406,45.6,3.8,3.3,2.3,3.1,0.4,18.2,10.4,12.8
経常損益の変化別(3年前),,増益,208,50.5,10.1,4.8,4.3,3.4,0.5,14.9,4.8,6.7
経常損益の変化別(3年前),,横ばい,615,48,4.7,3.3,1.1,2.9,0.3,17.1,9.9,12.7
経常損益の変化別(3年前),,減益,937,46.2,4.5,3.5,2,3.1,0.5,16.6,10.7,12.8
