表側１,表側２,表側３,回答企業数(件),3百万円未満(％),3～5百万円未満(％),5百万～1千万円未満(％),1～2千万円未満(％),2～3千万円未満(％),3千万～1億円未満(％),1億円以上(％),無回答(％)
,,今回調査（全体）,692,3.6,17.5,11,42.2,8.8,13.2,1.9,1.9
,,前回調査,728,4.5,18.7,10.3,44.4,7.6,12.6,1.5,0.4
業種別,,食料品卸売業,212,2.4,19.3,12.7,41,8,12.7,1.9,1.9
業種別,,生鮮食品卸売業,115,1.7,16.5,13.9,47,7.8,9.6,0.9,2.6
業種別,,加工食品等卸売業,97,3.1,22.7,11.3,34,8.2,16.5,3.1,1
業種別,,衣料品関連卸売業,132,3.8,15.2,11.4,47,9.8,9.1,0.8,3
業種別,,住関連卸売業,78,5.1,16.7,7.7,39.7,12.8,16.7,0,1.3
業種別,,その他卸売業,263,4.2,17.5,10.3,41.4,8,14.1,3,1.5
取引形態別,一次卸,小売直取引卸,201,5,17.9,11.4,39.3,11.4,11.4,1.5,2
取引形態別,一次卸,他部門直取引卸,49,4.1,10.2,4.1,44.9,12.2,20.4,4.1,0
取引形態別,一次卸,元卸,150,2.7,14,8.7,46,8,15.3,3.3,2
取引形態別,二次卸,中間卸,74,2.7,23,14.9,39.2,4.1,9.5,0,6.8
取引形態別,二次卸,最終卸,118,2.5,16.9,13.6,40.7,10.2,13.6,1.7,0.8
取引形態別,その他,製造問屋,17,5.9,11.8,11.8,58.8,5.9,5.9,0,0
取引形態別,その他,その他卸,67,4.5,25.4,11.9,38.8,3,16.4,0,0
