区分,合計／集計人員（人）,合計／平均年齢（歳）,合計／平均勤続年数（年）,合計／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,合計／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,合計／令和4年7月1か月の平均賃金／所定時間外賃金（円）,合計／令和3年年間給与支払額（円）,男性／集計人員（人）,男性／平均年齢（歳）,男性／平均勤続年数（年）,男性／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,男性／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,男性／令和4年7月1か月の平均賃金／所定時間外賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員（人）,女性／平均年齢（歳）,女性／平均勤続年数（年）,女性／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,女性／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,女性／令和4年7月1か月の平均賃金／所定時間外賃金（円）,女性／令和3年年間給与支払額（円）
調査産業計,1269,51.7,7.9,312629,11153,20344,4011972,724,55.1,8.9,345815,11269,22278,4456935,536,47.1,6.4,268721,11076,17763,3385754
建設業,157,53,6.2,319947,11062,29265,4527219,126,54.6,6.8,334684,11357,31144,4756792,28,45.9,3.7,260215,10006,20983,3563642
製造業,246,55,13,290134,11299,13418,3760519,148,60.4,15.5,326389,10357,10298,4226124,96,47.3,9.2,235242,12842,18451,2977379
情報通信業,117,42,5.1,313966,13433,32782,4171649,38,42,5.6,350420,16280,51693,4968208,79,41.9,4.8,296431,12064,23569,3709131
運輸業，郵便業,145,63,9.8,248186,7937,33056,2944545,129,64.3,9.6,248976,7171,34294,2924410,15,51.1,12.1,240126,14757,21234,3099431
卸売業，小売業,143,48.9,6.3,248614,12662,6923,3081285,47,46,5.6,274574,12857,5030,3458868,96,50.4,6.7,235916,12567,7890,2902093
金融業，保険業,126,50.8,7,333174,11764,21077,5129209,50,54.7,9.2,404307,13018,11471,6856046,76,48.3,5.6,286376,10939,27396,4064327
不動産業，物品賃貸業,28,51.9,4.9,284764,14367,24944,4063309,15,54.2,4.7,324655,13762,34527,5011250,13,49.2,5.1,238736,15065,13886,3029191
学術研究，専門・技術サービス業,94,47.8,3,656921,9575,10246,7512937,59,50.1,2.8,796059,10613,7481,9711816,35,44,3.4,422375,7825,14907,3994730
宿泊業，飲食サービス業,39,45.7,5.7,252587,10227,9726,2901522,25,46.3,7,255749,10141,11592,2964737,11,46.9,3.4,251151,11905,9325,2811070
生活関連サービス業，娯楽業,12,48.7,4.8,247907,1494,1594,3080600,7,54,3,263249,2106,0,3299260,5,41.2,7.2,226428,637,2790,2716167
教育，学習支援業（学校教育を除く）,31,48.6,6.4,236433,4431,25790,3464385,10,51.8,7.3,230331,7523,21017,2732363,21,47.1,6,239339,2958,27836,3952400
医療，福祉,36,49.5,6.9,266149,7024,36172,3539829,13,45.7,5.1,228035,10543,78065,3300550,23,51.6,8.1,289743,5035,12494,3690953
サービス業（他に分類されないもの）,95,49.4,9.3,255832,15920,12909,3407909,57,51.1,10.1,266403,18993,14378,3696373,38,46.8,7.5,239977,11310,10707,2890662
