表側１,表側２,2010年,2015年,2020年
"昼間人口
(千人)",総数,15576,15920,16315
"昼間人口
(千人)",区部,11712,12034,12346
"昼間人口
(千人)",市町村部,3865,3887,3969
"夜間人口
(千人)",総数,13159,13515,14048
"夜間人口
(千人)",区部,8946,9273,9733
"夜間人口
(千人)",市町村部,4214,4243,4314
"昼夜間
人口比率",総数,118.4,117.8,116.1
"昼夜間
人口比率",区部,130.9,129.8,126.8
"昼夜間
人口比率",市町村部,91.7,91.6,92.0
